"Optimizer","Nu","Iter","Depth","Error","Time"
"ga.2",0.406711965799332,259,17,0.0234260614934114,5353.68988275528
"ga.2",0.502621978521347,187,9,0.0234260614934114,5449.62362480164
"ga.2",0.615321680903435,214,7,0.0234260614934114,5590.53147482872
"ga.2",0.185377076268196,127,16,0.0248901903367497,7184.51404857635
"ga.2",0.155536356905941,81,18,0.0234260614934114,5097.29451584816
"ga.2",0.755560725927353,253,9,0.0234260614934114,4846.4875330925
"ga.2",0.84515780210495,158,13,0.0248901903367497,6510.64327168465
"ga.2",0.124616086483002,232,17,0.0248901903367497,5290.31691980362
"ga.2",0.26483978331089,169,11,0.0234260614934114,5173.74625563622
"ga.2",0.601584404706955,263,12,0.0248901903367497,4887.21308135986
