"Optimizer","Nu","Iter","Depth","Error","Time"
"gwo.1",0.257194315291567,57,4,0.255208333333333,668.073504686356
"gwo.1",0.246844168754584,88,1,0.229166666666667,829.608597278595
"gwo.1",0.0484492489740442,136,4,0.248697916666667,1172.54643011093
"gwo.1",0.01,170,10,0.23046875,1514.88399744034
"gwo.1",0.0106074469009101,300,11,0.243489583333333,2419.7969520092
"gwo.1",0.260095594514361,107,2,0.2421875,963.201219320297
"gwo.1",0.442116127956802,52,1,0.244791666666667,688.57837677002
"gwo.1",0.195250976996031,112,17,0.276041666666667,1388.21621990204
"gwo.1",0.257537291925416,70,1,0.239583333333333,718.774273872375
"gwo.1",0.0405672657809202,62,10,0.2421875,650.575306653976
