"Optimizer","Nu","Iter","Depth","Error","Time"
"sca.2",0.321931692856541,55,1,0.243489583333333,3595.86113595963
"sca.2",0.0579008673360149,50,5,0.233072916666667,3905.01838898659
"sca.2",0.130407741824846,188,3,0.24609375,6387.19920110703
"sca.2",0.01,50,7,0.248697916666667,7134.58700871468
"sca.2",0.01,130,20,0.244791666666667,6668.21007847786
"sca.2",0.01,148,20,0.229166666666667,5703.17225670815
"sca.2",0.034493121465773,162,1,0.23828125,3981.23912239075
"sca.2",0.577216061657695,170,1,0.234375,4921.60057091713
"sca.2",0.01,84,20,0.2421875,5697.28728604317
"sca.2",0.01,72,19,0.220052083333333,4134.2418320179
