"Optimizer","Nu","Iter","Depth","Error","Time"
"hjkb.2",0.436660003662109,100,2,0.227864583333333,8508.27335166931
"hjkb.2",0.758647155761719,100,2,0.251302083333333,8902.86436796188
"hjkb.2",0.986190795898438,99,1,0.22265625,9271.63154673576
"hjkb.2",0.839068603515625,100,2,0.229166666666667,9376.84079408646
"hjkb.2",0.226596069335937,104,1,0.231770833333333,7373.39785265923
"hjkb.2",0.576739501953125,100,2,0.23046875,9492.35615682602
"hjkb.2",0.579070281982422,101,1,0.23046875,7272.57457709313
"hjkb.2",0.987628173828125,101,1,0.225260416666667,9021.04756546021
"hjkb.2",0.257857513427734,99,1,0.2265625,6889.4067928791
"hjkb.2",0.480509948730469,100,1,0.229166666666667,6933.68363213539
