"Cost","Gamma","Accuracy","AccLCL","Time"
-10,-25,65.0073206442167,61.3147673302832,4.91610503196716
-10,-24,65.0073206442167,62.0943249771001,7.03809905052185
-10,-23,65.0073206442167,62.4124653742947,4.31879234313965
-10,-22,65.0073206442167,62.6192816910075,4.3801281452179
-10,-21,65.0073206442167,61.7158014707105,4.08785319328308
-10,-20,65.0073206442167,60.8181615358025,4.14196372032166
-10,-19,65.0073206442167,61.7090202288063,4.09906935691833
-10,-18,65.0073206442167,60.3410913340335,4.25328779220581
-10,-17,65.0073206442167,61.6186831502117,4.1096658706665
-10,-16,65.0073206442167,61.7361699791473,4.08920860290527
-10,-15,65.0073206442167,62.7878999320248,4.1603467464447
-10,-14,65.0073206442167,62.2387934981575,4.14849925041199
-10,-13,65.0073206442167,61.1313841682761,4.16781425476074
-10,-12,65.0073206442167,61.1370402243383,4.26900768280029
-10,-11,65.0073206442167,61.3920351285287,4.14959859848022
-10,-10,65.0073206442167,61.5034270135901,4.11588215827942
-10,-9,65.0073206442167,62.1430080026688,4.11569738388062
-10,-8,65.0073206442167,60.5899496742768,4.11375975608826
-10,-7,65.0073206442167,60.1569555138559,4.07786655426025
-10,-6,65.0073206442167,61.5777146350365,4.25088977813721
-10,-5,65.0073206442167,61.328702573236,4.10025644302368
-10,-4,65.0073206442167,60.0997417307027,4.12202429771423
-10,-3,65.0073206442167,61.3724215164911,4.27352976799011
-10,-2,65.0073206442167,62.2463258408015,4.20943450927734
-10,-1,65.0073206442167,61.8980440317024,4.10737180709839
-10,0,65.0073206442167,62.1419057391377,4.12208795547485
-10,1,65.0073206442167,60.5187829275396,4.11667251586914
-10,2,65.0073206442167,59.8012578135054,4.27216196060181
-10,3,65.0073206442167,61.2857437144339,4.11951756477356
-10,4,65.0073206442167,62.397577254855,4.09920024871826
-10,5,65.0073206442167,61.3735356583672,4.25740814208984
-10,6,65.0073206442167,61.9042766929169,5.93068695068359
-10,7,65.0073206442167,62.0858515752471,6.27180004119873
-10,8,65.0073206442167,61.537850605814,6.42952084541321
-10,9,65.0073206442167,60.5736851011967,6.43738102912903
-10,10,65.0073206442167,61.6892770792422,6.48868989944458
-9,-25,65.0073206442167,61.2611819294948,4.26122784614563
-9,-24,65.0073206442167,62.2796867594776,4.07979512214661
-9,-23,65.0073206442167,61.3852971347964,4.09101510047913
-9,-22,65.0073206442167,60.9485322355906,4.07390093803406
-9,-21,65.0073206442167,61.0622544099198,4.0761570930481
-9,-20,65.0073206442167,61.5460994526501,4.09143853187561
-9,-19,65.0073206442167,61.8460529894043,4.07329964637756
-9,-18,65.0073206442167,63.1360013243904,4.22695326805115
-9,-17,65.0073206442167,61.7612830735888,4.08194971084595
-9,-16,65.0073206442167,62.0029529022706,4.09539103507996
