"Optimizer","Cost","Gamma","Time","Error"
"hjn.1000",40,-3.9999999,416.842405796051,0.17432846583739
"hjn.1000",33,-3,395.054586172104,0.175770686857761
"hjn.1000",29.001,-4,390.587364435196,0.170993329727781
"hjn.1000",30,-4,362.483458518982,0.177483324319452
"hjn.1000",28,-3.000001,445.350171089172,0.172705967189472
"hjn.1000",32.00001,-3,532.820107698441,0.175950964485307
"hjn.1000",34.00001,-2,379.807135820389,0.174598882278709
"hjn.1000",33.000001,-4,324.987097740173,0.180457905173968
"hjn.1000",30,-4,318.003940343857,0.17432846583739
"hjn.1000",30.01,-3,391.294117212296,0.176762213809266
