"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"ga.2000",644.514810769856,-6.75931549714361,0.443843695686986,496.945840835571,3.93653796264643
"ga.2000",383.240599920905,-6.25289577923708,0.271949981074499,634.292337417603,4.13671683761935
"ga.2000",155.842881473842,-5.63187041245076,0.20729450349109,621.318709611893,4.02870933751339
"ga.2000",315.803896491459,-6.18400878618986,0.263211106561885,620.655090808868,4.05946098028391
"ga.2000",169.483993496332,-5.47862097097257,0.204373488018814,624.625980377197,4.05155391660791
"ga.2000",253.899780474956,-6.84202151655062,0.199124511525152,611.768831253052,3.99450924308668
"ga.2000",478.630694168248,-5.79769866825493,0.330641345307392,707.211960077286,4.06864581719113
"ga.2000",70.4035288096849,-6.17819803965842,0.181008101981737,731.192100763321,3.98253781570164
"ga.2000",335.114502997893,-6.29455737572205,0.370687146699237,583.592759370804,4.03045121905819
"ga.2000",312.184005907384,-8.0085044485638,0.143287090699908,565.640853643417,4.01620730123186
