"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"da.1",1024,-8,0,3014.14377522469,4.878598576599
"da.1",314.634330517004,-5,0,1320.93474245071,4.51352691276823
"da.1",49.3267952738289,-4,0,2154.97450256348,4.57383849513139
"da.1",990.61019250332,-8,0,2801.09302544594,5.06592760789365
"da.1",137.638249931578,-5,0,2722.39043736458,4.5482260405677
"da.1",955.560510486271,-8,0,3923.68039941788,4.56058858807455
"da.1",912.959070590556,-7,0,1987.33416199684,4.7375745527161
"da.1",962.764270671654,-8,0,4910.86557769775,4.54801144526585
"da.1",26.8905289592485,-5,0,6756.13054847717,4.49185362061394
"da.1",124.87127728602,-6,0,3402.94338703156,4.48692863471063
