"NumTrees","MinNode","Shrinkage","IntDepth","Accuracy","Acc.LCL","Time"
650,9,-2,17,0.850961538461538,0.821641817399244,14.8314292430878
650,10,-2,17,0.846153846153846,0.795641948390649,12.8122415542603
650,11,-2,17,0.846153846153846,0.808505604927056,11.6951270103455
650,12,-2,17,0.865384615384615,0.81649623252487,10.8953652381897
700,5,-2,17,0.841346153846154,0.776269475652124,25.4051849842072
700,6,-2,17,0.865384615384615,0.815308881147013,21.6949226856232
700,7,-2,17,0.855769230769231,0.80531716645505,18.7682285308838
700,8,-2,17,0.860576923076923,0.817596997559518,16.7367541790009
700,9,-2,17,0.850961538461538,0.773012768907107,15.1078877449036
700,10,-2,17,0.846153846153846,0.800338777513056,13.7934718132019
700,11,-2,17,0.875,0.825468155711599,12.6264781951904
700,12,-2,17,0.841346153846154,0.795756690344238,11.6166145801544
750,5,-2,17,0.855769230769231,0.808967907062063,27.6195464134216
750,6,-2,17,0.836538461538462,0.7636221511815,23.3198673725128
750,7,-2,17,0.836538461538462,0.794464355572031,20.1368567943573
750,8,-2,17,0.865384615384615,0.829840597843069,17.9070982933044
750,9,-2,17,0.860576923076923,0.821178817395743,16.137642621994
750,10,-2,17,0.846153846153846,0.804316635388719,14.8272333145142
750,11,-2,17,0.860576923076923,0.811997092709806,13.4659461975098
750,12,-2,17,0.855769230769231,0.775775384650785,12.5233345031738
800,5,-2,17,0.875,0.828908646959729,29.0692422389984
800,6,-2,17,0.865384615384615,0.811387107420889,24.8250694274902
800,7,-2,17,0.865384615384615,0.831486322704881,21.4147770404816
800,8,-2,17,0.875,0.854301756500838,19.1670083999634
800,9,-2,17,0.870192307692308,0.82192380952381,17.2234513759613
800,10,-2,17,0.836538461538462,0.796380643352204,15.6977183818817
800,11,-2,17,0.846153846153846,0.789633749025012,14.4618508815765
800,12,-2,17,0.889423076923077,0.853463432731566,13.2851324081421
850,5,-2,17,0.855769230769231,0.803000451225785,30.8405978679657
850,6,-2,17,0.875,0.838494186177136,26.1748592853546
850,7,-2,17,0.855769230769231,0.794107632294817,22.8023915290833
850,8,-2,17,0.850961538461538,0.792172960685475,20.1209225654602
850,9,-2,17,0.846153846153846,0.794448040414039,18.2699332237244
850,10,-2,17,0.855769230769231,0.827471633441395,16.564521074295
850,11,-2,17,0.860576923076923,0.808631801159729,15.2157444953918
850,12,-2,17,0.875,0.825204847653146,14.0701150894165
900,5,-2,17,0.826923076923077,0.765397521510657,32.7190673351288
900,6,-2,17,0.836538461538462,0.755895602656917,27.8715784549713
900,7,-2,17,0.870192307692308,0.821964466724418,24.2454006671906
900,8,-2,17,0.841346153846154,0.783538095172542,21.4691450595856
900,9,-2,17,0.884615384615385,0.84452908764982,19.1708717346191
900,10,-2,17,0.860576923076923,0.81108785277148,17.7168719768524
900,11,-2,17,0.865384615384615,0.81321551704386,16.1701426506042
900,12,-2,17,0.870192307692308,0.842279174755217,14.844437122345
950,5,-2,17,0.855769230769231,0.809989728373371,34.6158967018127
950,6,-2,17,0.875,0.829266949281198,29.3777287006378
950,7,-2,17,0.855769230769231,0.828429595778934,25.3962190151215
950,8,-2,17,0.879807692307692,0.823051832432115,22.5915429592133
950,9,-2,17,0.865384615384615,0.820313377472976,20.4066071510315
950,10,-2,17,0.884615384615385,0.83197802701694,18.5811536312103
950,11,-2,17,0.870192307692308,0.825432858253453,17.1009266376495
950,12,-2,17,0.875,0.83224540977844,15.6046657562256
1000,5,-2,17,0.850961538461538,0.789577128032589,36.7047889232635
1000,6,-2,17,0.850961538461538,0.801914708976075,31.0821936130524
1000,7,-2,17,0.860576923076923,0.802697068176177,26.9574327468872
1000,8,-2,17,0.884615384615385,0.818274003146664,23.7599461078644
1000,9,-2,17,0.879807692307692,0.844872697403132,21.5438668727875
1000,10,-2,17,0.879807692307692,0.810017904308452,19.4229850769043
1000,11,-2,17,0.875,0.819810293940028,17.8188743591309
1000,12,-2,17,0.850961538461538,0.791277349781905,16.5574154853821
1050,5,-2,17,0.855769230769231,0.802893725271265,38.4282243251801
1050,6,-2,17,0.836538461538462,0.773764391020839,32.5485618114471
1050,7,-2,17,0.846153846153846,0.800338777513056,28.242262840271
1050,8,-2,17,0.850961538461538,0.807377816255089,24.8827600479126
1050,9,-2,17,0.855769230769231,0.813695853544876,22.4864897727966
1050,10,-2,17,0.870192307692308,0.817364401551449,20.4230115413666
1050,11,-2,17,0.855769230769231,0.813217440195229,18.8596596717834
1050,12,-2,17,0.870192307692308,0.821282542992435,17.393794298172
1100,5,-2,17,0.865384615384615,0.827236997239199,40.060173034668
1100,6,-2,17,0.860576923076923,0.82584997514597,34.0813872814178
1100,7,-2,17,0.875,0.839452506859265,29.7215213775635
1100,8,-2,17,0.865384615384615,0.813859631739653,26.0825619697571
1100,9,-2,17,0.846153846153846,0.796623607389332,23.5308651924133
1100,10,-2,17,0.860576923076923,0.822378097461474,21.3521294593811
1100,11,-2,17,0.860576923076923,0.824197178846846,19.6379871368408
1100,12,-2,17,0.855769230769231,0.804977261873216,18.1978838443756
1150,5,-2,17,0.860576923076923,0.79931419105419,42.0989298820496
1150,6,-2,17,0.860576923076923,0.818572697956113,35.5817959308624
1150,7,-2,17,0.860576923076923,0.797022913907164,30.8450264930725
1150,8,-2,17,0.855769230769231,0.809560039098191,27.4764144420624
1150,9,-2,17,0.879807692307692,0.842510142935508,24.6469094753265
1150,10,-2,17,0.879807692307692,0.813733392916414,22.4163286685944
1150,11,-2,17,0.855769230769231,0.812146157819301,20.6582479476929
1150,12,-2,17,0.855769230769231,0.816813848898176,18.8850409984589
1200,5,-2,17,0.846153846153846,0.784959128659438,44.2619934082031
1200,6,-2,17,0.865384615384615,0.80285127958079,37.3696796894073
1200,7,-2,17,0.865384615384615,0.805631971807076,32.2491352558136
1200,8,-2,17,0.870192307692308,0.83361116472743,28.6568036079407
1200,9,-2,17,0.855769230769231,0.808868820752085,25.7182941436768
1200,10,-2,17,0.879807692307692,0.842556066250234,23.3020749092102
1200,11,-2,17,0.875,0.837632654382221,21.4130330085754
1200,12,-2,17,0.865384615384615,0.830650388612546,19.7183663845062
1250,5,-2,17,0.850961538461538,0.810291932125967,46.044153213501
1250,6,-2,17,0.865384615384615,0.838486068826471,38.7043585777283
1250,7,-2,17,0.889423076923077,0.852728346472515,33.7967760562897
1250,8,-2,17,0.870192307692308,0.836337504553279,29.7442746162415
1250,9,-2,17,0.879807692307692,0.818333214798523,26.9042732715607
1250,10,-2,17,0.865384615384615,0.813859631739653,24.2945647239685
1250,11,-2,17,0.831730769230769,0.802135273034186,22.3302376270294
1250,12,-2,17,0.841346153846154,0.796165345791315,20.685614824295
1300,5,-2,17,0.826923076923077,0.767523886237071,47.9755330085754
1300,6,-2,17,0.841346153846154,0.783425837505773,40.4880354404449
1300,7,-2,17,0.860576923076923,0.82067460470717,35.0760116577148
1300,8,-2,17,0.865384615384615,0.808945245290677,30.976010799408
1300,9,-2,17,0.860576923076923,0.830895864032296,27.9298808574677
1300,10,-2,17,0.850961538461538,0.788477826942006,25.2647340297699
1300,11,-2,17,0.875,0.801768295192439,23.0830936431885
1300,12,-2,17,0.875,0.844796414335341,21.3586304187775
1350,5,-2,17,0.846153846153846,0.795479217321461,49.9014480113983
1350,6,-2,17,0.875,0.840620779938978,41.914886713028
1350,7,-2,17,0.870192307692308,0.81892236112764,36.3402903079987
1350,8,-2,17,0.889423076923077,0.850507313145599,32.4427721500397
1350,9,-2,17,0.860576923076923,0.779152858552868,28.9731955528259
1350,10,-2,17,0.855769230769231,0.810300036359207,26.4999482631683
1350,11,-2,17,0.865384615384615,0.806836697611255,24.1209623813629
1350,12,-2,17,0.870192307692308,0.825432858253453,22.2232558727264
1400,5,-2,17,0.841346153846154,0.794115016633559,51.8668527603149
1400,6,-2,17,0.875,0.840319482823854,43.8476150035858
1400,7,-2,17,0.865384615384615,0.824289203438601,37.9840402603149
1400,8,-2,17,0.870192307692308,0.825055319533227,33.6522686481476
1400,9,-2,17,0.860576923076923,0.826991029090728,30.1806974411011
1400,10,-2,17,0.870192307692308,0.82192380952381,27.602837562561
1400,11,-2,17,0.875,0.821849228446163,24.9204988479614
1400,12,-2,17,0.870192307692308,0.842279174755217,23.3185830116272
1450,5,-2,17,0.855769230769231,0.808173421607087,53.7889795303345
1450,6,-2,17,0.860576923076923,0.795282138522946,45.3573040962219
1450,7,-2,17,0.870192307692308,0.830791647714621,39.1154296398163
