"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"optim.1",2000,8,5,0.01,102.543536864031,11.5929272174835
"optim.1",2000.09026408069,8,5,0.0118846611519137,114.310991777413,20.5798568725586
"optim.1",2000,8,5,0.01,116.32111489622,1.85004425048828
"optim.1",2000.00000327248,8,5,0.0100000000981743,135.621114937069,16.8708171844482
"optim.1",2000.92193542982,8,5,0.0105147216979555,125.666398490007,12.1672568321228
"optim.1",2000,8,5,0.01,117.241800415823,1.6867835521698
"optim.1",2000.12981874485,8,5,0.00999574540095154,103.35187056658,23.5415065288544
"optim.1",1999.96277655799,8,5,0.00999982284306045,103.023382919882,14.3100981712341
"optim.1",2000,8,5,0.01,106.450016306085,18.6335098743439
"optim.1",1997.66909798103,8,5,0.0101075800931832,102.824545226589,11.6814098358154
