"Optimizer","Nu","Iter","Depth","Error","Time"
"bobyqa.2",0.300635804119974,100,2,0.217463204894989,12568.41040802
"bobyqa.2",0.362543235021681,100,2,0.218290061187366,14686.1678853035
"bobyqa.2",0.389781189857642,100,2,0.219695716884405,13160.9288027287
"bobyqa.2",0.304274809160305,100,2,0.217049776748801,12452.5267519951
"bobyqa.2",0.400034555850228,100,2,0.216801719861088,12725.5364232063
"bobyqa.2",0.400073761636385,100,2,0.218042004299653,12701.8983299732
"bobyqa.2",0.39995659342979,100,2,0.217049776748801,11985.853720665
"bobyqa.2",0.302966999697245,100,2,0.21779394741194,12012.8383057117
"bobyqa.2",0.402547950083814,100,2,0.217380519265752,13415.4864580631
"bobyqa.2",0.389016449988599,100,2,0.219116917479742,13252.7168784142
