"Cost","Gamma","Epsilon","MSE","MSE_UCL","Time"
6,-6,0.6,4.45355603965131,4.88444108815853,9.40249443054199
6,-5,0.6,4.39264733357219,4.6557441042995,11.4946122169495
6,-4,0.6,4.43499286003483,4.64770627630741,13.5624237060547
6,-3,0.6,4.54956677959744,4.81183858025574,17.9561984539032
6,-2,0.6,5.0772519772738,5.43830078505301,26.4227352142334
6,-1,0.6,5.581246524705,5.91855780860135,40.7116920948029
6,0,0.6,6.29009206687866,6.64769083078051,52.4287550449371
6,1,0.6,6.88940658220757,7.28216063031767,48.2666652202606
6,2,0.6,6.44287802629897,6.78281148558932,25.9700293540955
6,3,0.6,6.52489628650307,6.94467208208397,16.6448938846588
6,4,0.6,7.07326004123597,7.7227747386787,16.3084795475006
6,5,0.6,7.93269680027892,8.53067713238686,20.0810344219208
6,6,0.6,8.83316476801131,9.39037209777176,19.9143755435944
6,7,0.6,9.60437337101639,10.2101454435232,22.5993113517761
6,8,0.6,10.1320576067632,10.9425074624348,25.1539974212646
6,9,0.6,10.4196415874822,10.9779450027625,26.087334394455
6,10,0.6,10.5059010253338,11.2618445553457,26.5585083961487
7,-25,0.6,9.68774874551245,10.2324007265,11.7922439575195
7,-24,0.6,9.12272840170847,9.54309365847512,12.1365025043488
7,-23,0.6,8.42397979374085,8.97995758405386,11.5578119754791
7,-22,0.6,7.69793246467206,8.15075829966992,10.4598433971405
7,-21,0.6,7.19255766806924,7.44746980505682,9.74660539627075
7,-20,0.6,6.85174819741447,7.51786720926569,9.13302898406982
7,-19,0.6,6.54682666532213,6.86486347466642,8.68214702606201
7,-18,0.6,6.20375488011649,6.69941935444049,8.23820805549622
7,-17,0.6,5.83611654186891,6.10816318877897,7.7599778175354
7,-16,0.6,5.5141304617577,5.93587011569733,7.35686731338501
7,-15,0.6,5.26662159062556,5.63061967502511,7.32686805725098
7,-14,0.6,5.1178611375079,5.57847462249788,7.36673450469971
7,-13,0.6,4.97638549597969,5.41670239782077,7.31587743759155
7,-12,0.6,4.85245910944457,5.28412045071275,7.40686535835266
7,-11,0.6,4.71812515702272,5.00150625852148,7.37075543403625
7,-10,0.6,4.63615229288797,4.7660918390917,7.54529309272766
7,-9,0.6,4.57455087859277,4.84244169708494,7.79023265838623
7,-8,0.6,4.51763639298304,4.91436634360083,8.6760094165802
7,-7,0.6,4.49911884557289,4.83676278577387,9.65720272064209
7,-6,0.6,4.42134433683722,4.80165975178807,11.257551908493
7,-5,0.6,4.41025126450601,4.75008189893498,14.1298875808716
7,-4,0.6,4.50399599992272,4.6966243040652,19.6505372524261
7,-3,0.6,4.71107489822442,5.12953870174513,29.1378166675568
7,-2,0.6,5.09143576490011,5.44168910514087,48.2952888011932
7,-1,0.6,5.95160760231452,6.27710951677479,76.7669422626495
7,0,0.6,7.00298461467829,7.38131061735778,93.5907716751099
7,1,0.6,7.32746504408503,7.67336077883802,67.4269089698792
7,2,0.6,6.44085567622092,6.98820067216232,28.9313015937805
7,3,0.6,6.45587012949926,6.87637952203154,16.9519693851471
7,4,0.6,7.10621013362823,7.39181045114502,16.1301212310791
7,5,0.6,7.95980427130445,8.47353964720153,20.0487992763519
7,6,0.6,8.82469382422468,9.25228597362858,19.7073214054108
7,7,0.6,9.63093211410084,10.0347385269854,22.17684674263
7,8,0.6,10.1384416109221,10.6833142147483,24.6108164787292
7,9,0.6,10.4209280223133,10.9291680766254,25.874639749527
7,10,0.6,10.5068270807431,11.1665788400027,25.983106136322
8,-25,0.6,9.12106480725009,9.99602629528666,11.6783018112183
8,-24,0.6,8.42637196714479,8.9560195083509,10.9964230060577
8,-23,0.6,7.69691898746309,8.35448344623087,10.5084595680237
8,-22,0.6,7.19380829130076,7.59993157719723,9.72914576530457
8,-21,0.6,6.85178784688658,7.31527401453762,9.09233617782593
8,-20,0.6,6.54609165211325,7.05471165099383,8.43422770500183
8,-19,0.6,6.20793839619448,6.687227326626,7.94018650054932
8,-18,0.6,5.83819893179387,6.31548162478653,7.51934194564819
8,-17,0.6,5.51472909437171,6.21194917754439,7.12736463546753
8,-16,0.6,5.2753865806459,5.85993334379987,6.98417067527771
8,-15,0.6,5.125469157743,5.54692527503165,7.23737072944641
8,-14,0.6,5.02000688854767,5.42780567054457,7.21335577964783
8,-13,0.6,4.88869587312791,5.35768385723254,7.23811674118042
8,-12,0.6,4.75677578408365,5.09680352836539,7.35889363288879
8,-11,0.6,4.66138528130712,4.9495418679029,7.35213661193848
8,-10,0.6,4.70040736301755,5.0967665530069,7.60910129547119
8,-9,0.6,4.53421473862309,4.78756458055436,8.6509268283844
8,-8,0.6,4.54875960905873,4.92825569133804,9.814213514328
8,-7,0.6,4.4625716985318,4.77029599686173,11.8317377567291
8,-6,0.6,4.41274842809626,4.65422015336569,15.0134415626526
8,-5,0.6,4.44141842368535,4.85021613024012,20.2447557449341
8,-4,0.6,4.55492464472688,4.80007518276735,31.1606230735779
8,-3,0.6,4.88838069905285,5.18855936566907,49.6367115974426
8,-2,0.6,5.56907113763932,5.93591745635842,94.533442735672
8,-1,0.6,6.4524596671481,7.023088599954,155.320626974106
8,0,0.6,8.05039234787629,8.55919127276561,169.024280548096
8,1,0.6,7.86542367360394,8.24781373610166,91.2157855033875
8,2,0.6,6.4804841458958,6.67233761607761,32.4290361404419
8,3,0.6,6.52563248628741,7.12611663515827,17.9472990036011
8,4,0.6,7.08811271188698,7.53325377067674,15.8430390357971
8,5,0.6,7.93647068348367,8.53100830125316,19.334201335907
8,6,0.6,8.83164768483618,9.40821944033588,19.3885471820831
