"Cost","Gamma","Accuracy","AccLCL","Time"
12,-22,74.4666776914172,73.6284341142894,89.1130130290985
12,-21,74.8387630229866,73.8811233560669,89.7664062976837
12,-20,75.491979493964,74.7353423557325,80.1503508090973
12,-19,76.2278815941789,75.3710296105327,78.1119112968445
12,-18,76.6578468662147,75.9441040592119,83.3986899852753
12,-17,77.1208863899454,76.5415158092252,86.4440004825592
12,-16,77.625268728295,77.2596188452996,78.2417681217194
12,-15,77.9890854969406,77.0791248532952,76.926837682724
12,-14,78.3032908880437,77.9168395540044,78.5004012584686
12,-13,78.8324789151645,78.301293094853,94.1954028606415
12,-12,79.1549528691913,78.6786017862841,100.223743200302
12,-11,79.6676037704647,78.4149510343854,117.417784452438
12,-10,80.287745989747,79.5306817686263,139.08645606041
12,-9,81.6024474946254,81.0926064907158,170.739500999451
12,-8,83.0163717545891,81.9524680500873,238.716016292572
12,-7,84.0995534976021,83.8166072701435,341.267182350159
12,-6,85.7863403340499,85.2178084651601,467.997915267944
12,-5,87.605424177278,87.268690290862,540.974740028381
12,-4,89.5402679014387,88.8277339703176,568.780913114548
12,-3,89.846204729618,89.7037533270319,402.87976360321
12,-2,89.3666280800397,88.8768581106324,236.878932476044
12,-1,90.0942616173309,89.421624271867,117.485708475113
12,0,89.9371589217794,89.5523662602754,102.12965297699
12,1,90.6813295849181,89.7805552572417,164.938378810883
12,2,92.1365966595006,91.7449377671449,186.074214935303
12,3,92.7815445675542,92.3674565850924,249.855723381042
12,4,92.7815445675542,91.7932921523737,320.087131977081
12,5,92.6079047461551,92.2676653416311,343.144752502441
12,6,91.9794939639491,91.0954074504299,416.074305772781
12,7,90.9789978501736,90.8086007422111,455.930601358414
12,8,86.3320654870184,85.0932300172611,477.37411403656
12,9,80.5854142550025,80.1929078689632,446.122965335846
12,10,73.3669588225566,71.973165920669,464.674164056778
13,-25,72.1845543244584,70.3413257438681,92.8533983230591
13,-24,74.2351579295518,73.8858223517071,89.53275847435
13,-23,74.4087977509509,73.547509935372,88.666867017746
13,-22,74.8553001488341,74.1350492439722,86.6166188716888
13,-21,75.525053745659,74.7965134352022,85.6123080253601
13,-20,76.2692244087978,75.9215698550579,85.4718232154846
13,-19,76.575161236977,76.2285423178794,86.8085014820099
13,-18,77.170497767488,76.784744226904,84.503529548645
13,-17,77.6831486687614,77.3299679136897,85.4943616390228
13,-16,77.9477426823218,77.2879952608648,84.4144384860992
13,-15,78.1461881924921,78.0011536837934,89.6264433860779
13,-14,78.5678849016041,77.9177534710182,93.0211939811707
13,-13,79.0061187365636,78.5739791205519,100.759155750275
13,-12,79.411278319828,78.6738280546133,117.298617839813
13,-11,79.8081693401687,79.0033397121504,148.066922903061
13,-10,80.6267570696213,79.8028252925468,188.024091720581
13,-9,82.3135439060691,82.1411375089439,275.493979215622
13,-8,83.3884570861584,82.2849824802176,406.88761305809
13,-7,84.4633702662477,83.4948064247676,608.329809904099
13,-6,86.7206879444353,86.017064427047,806.094074487686
13,-5,87.7873325616008,87.2149340225341,904.69703245163
13,-4,89.2095253844882,88.9370965526407,834.869929790497
13,-3,89.4658508351249,89.236539988216,502.302461862564
13,-2,89.3500909541922,88.5352673035922,251.940982818604
13,-1,89.1351083181743,88.6201881535954,120.711086273193
13,0,89.6146849677526,89.2548198542591,93.8999860286713
13,1,90.8632379692409,90.6982294732688,144.914246797562
13,2,92.1944765999669,91.7413291771785,178.696863412857
13,3,92.3267736067472,91.594280163007,224.175224065781
13,4,92.8311559450967,92.6566701294416,281.734159231186
13,5,92.7567388787829,92.5060989045262,327.0129737854
13,6,92.0456424673392,91.5680271793712,387.589578866959
13,7,90.8549694063172,90.367336731871,441.324140310287
13,8,85.7532660823549,85.377141236512,500.879414796829
13,9,81.2138250372085,80.677277944757,464.8950715065
13,10,73.4992558293369,73.239458885603,476.553159952164
14,-25,73.9622953530676,73.1584328613951,86.3690364360809
14,-24,74.4087977509509,74.0072686073359,98.4660315513611
14,-23,74.8635687117579,73.7551261433824,96.4434988498688
14,-22,75.5167851827352,73.8458807489347,93.7238199710846
14,-21,76.1534645278651,75.061707930838,91.9388470649719
14,-20,76.7405324954523,75.8647426427057,90.3198611736298
14,-19,77.1291549528692,76.2975398050313,90.2696053981781
14,-18,77.6418058541425,77.2596545156727,88.1141121387482
14,-17,77.8071771126178,76.892187783593,84.0521364212036
14,-16,78.0221597486357,77.9699786968455,81.0866456031799
14,-15,78.3280965768149,77.6351485565774,84.2276468276978
14,-14,78.8986274185547,78.6568624948073,91.0428731441498
14,-13,79.1797585579626,78.9935487029219,116.188529729843
14,-12,79.5353067636845,78.790320928423,139.304771900177
14,-11,80.320820241442,79.2919766483446,174.441246032715
14,-10,81.4453447990739,80.7260932078687,293.706204414368
14,-9,82.669092111791,82.0978826222815,392.311755895615
14,-8,83.5538283446337,82.6846114302279,606.335485458374
14,-7,85.1413924259964,84.6889479252744,880.498840093613
14,-6,86.5057053084174,85.8879140414694,1174.43265771866
14,-5,88.6059202910534,87.8665077088002,1312.24312329292
14,-4,89.5568050272863,88.8915700560038,1142.92868041992
14,-3,89.4410451463536,88.5747717345736,700.785669565201
14,-2,89.1929882586407,88.8635832216497,283.942642450333
14,-1,88.6968744832148,88.3580871542431,124.265151262283
14,0,89.7304448486853,89.205766783097,92.001736164093
14,1,90.6895981478419,90.5018279577259,155.149359703064
14,2,91.9712254010253,91.6090050268489,176.724776029587
14,3,92.368116421366,91.775485023909,223.317928552628
14,4,93.1784355878948,92.7402728943103,281.153420209885
14,5,92.0291053414916,91.9636189642482,324.561817169189
14,6,91.6239457582272,91.3022284153895,384.99288225174
14,7,90.4994212005953,89.5632568284882,422.078537940979
14,8,86.2328427319332,85.7447927139254,431.639339208603
14,9,80.6350256325451,79.5529077659632,416.297493219376
14,10,72.9204564246734,71.4439046914919,425.689379930496
15,-25,74.4584091284935,73.8692448866086,80.2349481582642
15,-24,74.7726145195965,74.1687167303362,77.9940659999847
15,-23,75.5415908715065,75.0782786112268,76.1726372241974
15,-22,76.2774929717215,75.2325228214624,75.0746924877167
15,-21,76.715726806681,76.009848976695,74.7409703731537
15,-20,76.9472465685464,76.4401675501488,74.1765851974487
15,-19,77.5508516619811,76.9310434982772,74.2144496440887
15,-18,77.8733256160079,77.0749305045042,75.2273993492126
15,-17,77.9890854969406,77.1732351582355,77.2148189544678
