"Nu","Iter","Maxdepth","Accuracy","AccLCL","Time"
0.5,100,3,0.748677248677249,0.748677248677249,54.4707968235016
0.5,200,3,0.759259259259259,0.759259259259259,103.045488595963
0.5,300,3,0.729497354497355,0.729497354497355,145.750509500504
0.5,400,3,0.772486772486772,0.772486772486772,192.559138298035
0.5,500,3,0.758597883597884,0.758597883597884,242.449423789978
0.5,600,3,0.759259259259259,0.759259259259259,280.583332300186
0.5,700,3,0.751984126984127,0.751984126984127,318.046756982803
0.5,800,3,0.748677248677249,0.748677248677249,359.327002763748
0.5,900,3,0.753306878306878,0.753306878306878,409.40486574173
0.5,1000,3,0.760582010582011,0.760582010582011,450.780391216278
0.7,100,3,0.762566137566138,0.762566137566138,52.7292907238007
0.7,200,3,0.738756613756614,0.738756613756614,98.9549911022186
0.7,300,3,0.743386243386243,0.743386243386243,145.756007909775
0.7,400,3,0.742063492063492,0.742063492063492,186.285287618637
0.7,500,3,0.764550264550265,0.764550264550265,230.288646936417
0.7,600,3,0.755952380952381,0.755952380952381,270.954065084457
0.7,700,3,0.775793650793651,0.775793650793651,303.685982704163
0.7,800,3,0.763227513227513,0.763227513227513,363.113748550415
0.7,900,3,0.773148148148148,0.773148148148148,401.727642059326
0.7,1000,3,0.75462962962963,0.75462962962963,447.430409669876
1,100,3,0.744708994708995,0.744708994708995,51.0325307846069
1,200,3,0.757275132275132,0.757275132275132,98.6230516433716
1,300,3,0.707010582010582,0.707010582010582,138.743737459183
1,400,3,0.748015873015873,0.748015873015873,195.015247106552
1,500,3,0.777116402116402,0.777116402116402,236.643286466599
1,600,3,0.771825396825397,0.771825396825397,275.493204116821
1,700,3,0.76984126984127,0.76984126984127,319.232917070389
1,800,3,0.767857142857143,0.767857142857143,361.133390426636
1,900,3,0.783068783068783,0.783068783068783,423.229090213776
1,1000,3,0.790343915343915,0.790343915343915,460.564821004868
0.01,100,4,0.766534391534392,0.766534391534392,72.0310804843903
0.01,200,4,0.763888888888889,0.763888888888889,142.704916238785
0.01,300,4,0.773148148148148,0.773148148148148,210.225630760193
0.01,400,4,0.761904761904762,0.761904761904762,279.094649791718
0.01,500,4,0.763227513227513,0.763227513227513,347.950459241867
0.01,600,4,0.761904761904762,0.761904761904762,414.858768701553
0.01,700,4,0.763227513227513,0.763227513227513,481.119492053986
0.01,800,4,0.761904761904762,0.761904761904762,543.310917615891
0.01,900,4,0.761904761904762,0.761904761904762,607.441571474075
0.01,1000,4,0.764550264550265,0.764550264550265,661.475381851196
