"Nu","Iter","Maxdepth","Accuracy","AccLCL","Time"
1,100,8,0.791666666666667,0.791666666666667,107.201548099518
1,200,8,0.794312169312169,0.794312169312169,189.966108083725
1,300,8,0.833333333333333,0.833333333333333,294.831072568893
1,400,8,0.808201058201058,0.808201058201058,403.08584856987
1,500,8,0.821428571428571,0.821428571428571,498.465092420578
1,600,8,0.839285714285714,0.839285714285714,612.359741210938
1,700,8,0.836640211640212,0.836640211640212,710.70548415184
1,800,8,0.822751322751323,0.822751322751323,804.881487369537
1,900,8,0.832671957671958,0.832671957671958,914.793711185455
1,1000,8,0.827380952380952,0.827380952380952,1021.7779853344
0.01,100,10,0.775793650793651,0.775793650793651,112.212171554565
0.01,200,10,0.775793650793651,0.775793650793651,226.763072490692
0.01,300,10,0.765873015873016,0.765873015873016,343.255866765976
0.01,400,10,0.767857142857143,0.767857142857143,462.655965328217
0.01,500,10,0.757275132275132,0.757275132275132,583.164504289627
0.01,600,10,0.757275132275132,0.757275132275132,695.328313350677
0.01,700,10,0.75462962962963,0.75462962962963,806.507081031799
0.01,800,10,0.75462962962963,0.75462962962963,896.94784784317
0.01,900,10,0.749338624338624,0.749338624338624,1005.46579051018
0.01,1000,10,0.748677248677249,0.748677248677249,1099.54698133469
0.1,100,10,0.761904761904762,0.761904761904762,108.93817782402
0.1,200,10,0.763888888888889,0.763888888888889,207.075380802155
0.1,300,10,0.757936507936508,0.757936507936508,293.292236804962
0.1,400,10,0.744708994708995,0.744708994708995,387.138743877411
0.1,500,10,0.76521164021164,0.76521164021164,464.927093505859
0.1,600,10,0.763227513227513,0.763227513227513,537.599248886108
0.1,700,10,0.777116402116402,0.777116402116402,643.735898733139
0.1,800,10,0.761243386243386,0.761243386243386,733.238246440887
0.1,900,10,0.759259259259259,0.759259259259259,805.670222997665
0.1,1000,10,0.772486772486772,0.772486772486772,858.297793865204
0.3,100,10,0.763227513227513,0.763227513227513,100.598438501358
0.3,200,10,0.757275132275132,0.757275132275132,192.330252885818
0.3,300,10,0.76984126984127,0.76984126984127,301.50284576416
0.3,400,10,0.786375661375661,0.786375661375661,391.626455068588
0.3,500,10,0.775793650793651,0.775793650793651,456.855911254883
0.3,600,10,0.776455026455027,0.776455026455027,564.097124814987
0.3,700,10,0.787698412698413,0.787698412698413,636.207423448563
0.3,800,10,0.782407407407407,0.782407407407407,718.961591005325
0.3,900,10,0.784391534391534,0.784391534391534,810.213408231735
0.3,1000,10,0.784391534391534,0.784391534391534,928.54784822464
