"Optimizer","Nu","Iter","Depth","Error","Time"
"optim.2",1,100,2,0.160714285714286,10006.2767336369
"optim.2",0.884759135936385,100,2,0.157142857142857,4785.73960137367
"optim.2",1,100,2,0.171428571428571,4785.44478130341
"optim.2",1,100,2,0.176190476190476,6120.44878053665
"optim.2",0.982265564141378,100,2,0.178571428571429,6863.40525174141
"optim.2",1,100,2,0.167857142857143,4832.51048183441
"optim.2",1,100,2,0.155952380952381,4452.55074310303
"optim.2",0.500369868431313,103,1,0.153571428571429,6365.57114124298
"optim.2",0.751353985520827,100,2,0.167857142857143,4745.92824006081
"optim.2",0.864162125991779,100,2,0.163095238095238,8859.72733354568
