"Optimizer","Nu","Iter","Depth","Error","Time"
"Rcgmin.2",0,100,2,0.15,382.460160493851
"Rcgmin.2",0,100,2,0.148809523809524,384.943514823914
"Rcgmin.2",0,100,2,0.151190476190476,384.00305390358
"Rcgmin.2",0,100,2,0.15952380952381,386.012612581253
"Rcgmin.2",0,100,2,0.155952380952381,386.757965326309
"Rcgmin.2",0,100,2,0.147619047619048,387.257680416107
"Rcgmin.2",0,100,2,0.152380952380952,387.758610725403
"Rcgmin.2",0,100,2,0.147619047619048,387.180090427399
"Rcgmin.2",0,100,2,0.151190476190476,384.911571264267
"Rcgmin.2",0,100,2,0.146428571428571,384.554113864899
