"Optimizer","Nu","Iter","Depth","Error","Time"
"spg.2",0.000842404346521696,100,2,0.183333333333333,4483.66358089447
"spg.2",0.000976564615887423,100,2,0.186904761904762,5360.66347312927
"spg.2",0.000976564200847787,100,2,0.183333333333333,1732.57494354248
"spg.2",0.000976564066257156,100,2,0.191666666666667,1115.89742207527
"spg.2",0.000781116644520948,100,2,0.178571428571429,7668.74529385567
"spg.2",0.00134722048798645,100,2,0.178571428571429,3231.81990718842
"spg.2",0.000324497373848423,100,2,0.183333333333333,5182.20071220398
"spg.2",0.000534260844134878,100,2,0.180952380952381,9962.72329187393
"spg.2",0.000488281865234722,100,2,0.197619047619048,1198.10085225105
"spg.2",0.000684061839054352,100,2,0.185714285714286,2046.00567030907
