"Optimizer","Cost","Gamma","Time","Error"
"bobyqa.2",30.5224945901402,-6.13451518809576,4.19820547103882,0.027818448023426
"bobyqa.2",31.8949909275391,-6.15433566516954,3.39813923835754,0.0292825768667643
"bobyqa.2",31.9999946236886,-4.99997686652261,3.18151473999023,0.0409956076134699
"bobyqa.2",32.95,-5,3.14665174484253,0.0409956076134699
"bobyqa.2",31.05,-5,3.18355011940002,0.0395314787701318
"bobyqa.2",32.9405581058634,-5.0010491115824,3.38111639022827,0.0395314787701318
"bobyqa.2",33.5811201633343,-6.1181628158838,3.11448454856873,0.0336749633967788
"bobyqa.2",32.7355357547017,-6.16112600747658,3.24397349357605,0.0292825768667643
"bobyqa.2",33.0314539055433,-7.6158549717225,2.71074390411377,0.0336749633967788
"bobyqa.2",30.635364996812,-6.25924407705443,3.00410318374634,0.0322108345534407
