"Optimizer","Cost","Gamma","Time","Error"
"ga.2",1029.81756485999,-9.17575190961361,24.8268849849701,0.0292825768667643
"ga.2",692.114916780032,-9.10826270817779,23.6760993003845,0.0292825768667643
"ga.2",316.079299211502,-7.80370742082596,22.4750137329102,0.0292825768667643
"ga.2",201.632579654455,-7.8087911605835,21.9688723087311,0.0292825768667643
"ga.2",400.220811799169,-8.10701739788055,25.1840405464172,0.027818448023426
"ga.2",250.787140890956,-7.97735613584518,21.2974424362183,0.027818448023426
"ga.2",134.257944986224,-9.63932771980762,22.1656396389008,0.0292825768667643
"ga.2",287.701406202512,-8.10701740207151,22.122766494751,0.0292825768667643
"ga.2",911.103556409478,-8.81876973807812,21.5579624176025,0.027818448023426
"ga.2",433.300718158484,-8.24669888615608,23.2123074531555,0.027818448023426
