"Optimizer","Cost","Gamma","Time","Error"
"SCA.1",1042,-9.41786418086928,35.0793697834015,0.0336749633967788
"SCA.1",1042,-9.41786418086928,33.081595659256,0.0336749633967788
"SCA.1",1042,-9.41786418086928,32.8016550540924,0.0336749633967788
"SCA.1",1042,-9.41786418086928,32.8135077953339,0.0336749633967788
"SCA.1",1042,-9.41786418086928,32.7888560295105,0.0336749633967788
"SCA.1",1042,-9.41786418086928,32.4870989322662,0.0336749633967788
"SCA.1",1042,-9.41786418086928,32.5517435073853,0.0336749633967788
"SCA.1",1042,-9.41786418086928,32.4605355262756,0.0336749633967788
"SCA.1",1042,-9.41786418086928,32.5302636623383,0.0336749633967788
"SCA.1",1042,-9.41786418086928,32.3951284885406,0.0336749633967788
