"Cost","Gamma","Epsilon","MSE","MSE_UCL","Time"
25,-15,0,2323310645540.69,2924342378424.92,5443.17612051964
25,-14,0,2645793511970.64,3043717635505.8,6973.71218323708
25,-13,0,692248436364.702,844541618514.825,7361.76655673981
25,-12,0,1696156905.31011,2150242924.3706,3548.61617088318
25,-11,0,1600014473.15493,2017675050.07608,1127.743745327
25,-10,0,1404993600.65024,1895013496.69535,489.320573568344
25,-9,0,1293745524.96289,1819286461.19442,214.085853338242
25,-8,0,1080453094.5381,1436839309.47587,89.9599134922028
25,-7,0,935044983.970484,1220723850.18878,41.0765588283539
25,-6,0,869862910.927686,1098695647.10163,22.6871912479401
25,-5,0,942635316.902661,1298248241.24943,15.937980890274
25,-4,0,1476160162.16387,1891651868.84695,13.6353256702423
25,-3,0,3104274201.49495,3736010415.42758,13.0763649940491
25,-2,0,5469998470.63503,6170824168.69534,13.2147495746613
25,-1,0,6227899336.66572,7331655622.46906,13.2364790439606
25,0,0,6290392361.5551,7359649152.92679,15.6217103004456
25,1,0,6292729783.3797,7479161370.53886,15.2286326885223
25,2,0,6289838637.89793,7000294740.26056,13.2277553081512
25,3,0,6287613563.47723,6916546562.2839,14.2946841716766
25,4,0,6284518994.52572,7063801158.71403,16.1124823093414
25,5,0,6290286261.828,6876939405.30117,16.0748064517975
25,6,0,6290686658.12573,7146274974.74755,16.0000240802765
25,7,0,6292668702.08157,7234963170.94702,16.0282297134399
25,8,0,6290508827.55318,7360412680.51418,15.9563474655151
25,9,0,6297969550.39538,7332272562.48426,15.9697897434235
25,10,0,6288130317.44563,7047808500.53357,16.0011305809021
