"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"spg.1",499.999646866397,5,8,0.0899892835494561,0.0655270655270655,87.5016622543335
"spg.1",500,5,8,0.09,0.056980056980057,204.352602243423
"spg.1",499.999818865277,5,8,0.09,0.0655270655270655,64.9099516868591
"spg.1",499.999999528295,5,8,0.0900000000186264,0.0655270655270655,73.8148369789124
"spg.1",499.999996647239,5,8,0.0900000000745058,0.0541310541310541,74.7228238582611
"spg.1",500,5,8,0.0900012207031555,0.0626780626780627,48.2311272621155
"spg.1",500.000166814655,5,8,0.0899575519479747,0.0598290598290598,71.6921873092651
"spg.1",499.999837981499,5,8,0.0899903570124023,0.0512820512820513,87.4543352127075
"spg.1",500,5,8,0.09,0.0541310541310541,247.861737966537
"spg.1",500.00049921143,5,8,0.0899004690166908,0.0626780626780627,76.6726713180542
