"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"hs.1",1449.5014529326,5,6,0.0412553550619632,0.0683760683760684,904.90899014473
"hs.1",797.944484860671,5,10,0.0479880868727341,0.0712250712250712,744.680594682693
"hs.1",84.1880848095636,11,7,0.0726157930600457,0.0655270655270655,425.676340818405
"hs.1",1210.35220810813,12,10,0.0235678699170239,0.0598290598290598,810.796600341797
"hs.1",425.576511260134,4,9,0.0796721360988449,0.0740740740740741,576.666893005371
"hs.1",915.83747487549,8,10,0.0088418257390149,0.0712250712250712,893.593507289886
"hs.1",1402.47482272098,5,9,0.0032566792180296,0.0598290598290598,983.61040854454
"hs.1",280.557106435299,13,8,0.0594772871672176,0.0797720797720798,456.595729827881
"hs.1",1215.23255199427,5,8,0.0538607094755862,0.0797720797720798,798.999549150467
"hs.1",2140.15480980743,3,7,0.0094932089552749,0.0683760683760684,695.934199333191
