data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Pima,ada,hjn,FALSE,10,auc,689.823127269745,0.836671641791045,0.768229166666667,0.824067164179104
Pima,ada,hjn,FALSE,10,auc,736.381370067596,0.83592537313433,0.756510416666667,0.826104477611938
Pima,ada,hjn,FALSE,10,auc,545.230369091034,0.83404104477612,0.765625,0.830194029850743
Pima,ada,hjn,FALSE,10,auc,503.205432415009,0.838716417910447,0.748697916666667,0.817268656716418
Pima,ada,hjn,FALSE,10,auc,739.024816513062,0.835970149253732,0.76171875,0.827186567164179
Pima,ada,hjn,FALSE,10,auc,479.341864824295,0.834735074626866,0.747395833333333,0.825865671641791
Pima,ada,hjn,FALSE,10,auc,788.191856622696,0.8354552238806,0.751302083333333,0.822111940298507
Pima,ada,hjn,FALSE,10,auc,658.806691884995,0.835455223880597,0.743489583333333,0.820044776119402
Pima,ada,hjn,FALSE,10,auc,657.804151296616,0.835279850746268,0.766927083333333,0.832044776119404
Pima,ada,hjn,FALSE,10,auc,737.620477437973,0.83501119402985,0.752604166666667,0.826402985074627
