data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Pima,en,hjn,0.5,10,auc,2.73144435882568,0.858735943681277,0.764322916666667,0.828567164179102
Pima,en,hjn,0.5,10,auc,1.15143013000488,0.865776175418896,0.770833333333333,0.826850746268654
Pima,en,hjn,0.5,10,auc,1.1297402381897,0.855790043290042,0.776041666666667,0.830611940298507
Pima,en,hjn,0.5,10,auc,1.01921367645264,0.861252417075712,0.768229166666667,0.827791044776115
Pima,en,hjn,0.5,10,auc,1.09171748161316,0.870242113840066,0.768229166666667,0.824805970149252
Pima,en,hjn,0.5,10,auc,0.961857080459595,0.854439982150828,0.77734375,0.832567164179103
Pima,en,hjn,0.5,10,auc,1.14094352722168,0.864630744384087,0.768229166666667,0.827902985074623
Pima,en,hjn,0.5,10,auc,1.03614711761475,0.851185679751352,0.766927083333333,0.82780597014925
Pima,en,hjn,0.5,10,auc,1.28900027275085,0.867548259613924,0.76953125,0.832328358208953
Pima,en,hjn,0.5,10,auc,1.23486590385437,0.869769490530028,0.765625,0.825865671641788
