data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Crime,svm,ga,FALSE,3,mse,3.44288420677185,495.569919752243,741.909754452616,20.6245326258537
Crime,svm,ga,FALSE,3,mse,3.06881093978882,449.236320502359,661.221213956259,19.2167362398758
Crime,svm,ga,FALSE,3,mse,1.56928658485413,530.277698620312,663.261622397605,19.8819273720658
Crime,svm,ga,FALSE,3,mse,2.61117959022522,463.684128946274,638.665358960351,19.4415705103984
Crime,svm,ga,FALSE,3,mse,2.1478168964386,515.954559869948,741.886223687921,19.761233761284
Crime,svm,ga,FALSE,3,mse,2.83021664619446,510.669855778781,691.997430776474,20.7338385035533
Crime,svm,ga,FALSE,3,mse,1.68565845489502,465.910572651561,646.539069017679,19.5684759254202
Crime,svm,ga,FALSE,3,mse,2.38844203948975,488.232083825828,960.49869254071,24.1610825221429
Crime,svm,ga,FALSE,3,mse,2.15877866744995,504.054654499014,732.443109540278,21.264652341278
Crime,svm,ga,FALSE,3,mse,1.92378759384155,454.907795700537,656.755167908895,19.9307107355377
