"Optimizer","Cost","Gamma","Time","Error"
"MFO.1",683.531678627968,-3.02899906014413,29.6642577648163,0.0484330484330485
"MFO.1",683.531678627968,-3.02899906014413,29.0577788352966,0.0484330484330485
"MFO.1",683.531678627968,-3.02899906014413,28.8080615997314,0.0484330484330485
"MFO.1",683.531678627968,-3.02899906014413,28.8062283992767,0.0484330484330485
"MFO.1",683.531678627968,-3.02899906014413,28.7523214817047,0.0484330484330485
"MFO.1",683.531678627968,-3.02899906014413,28.8329458236694,0.0484330484330485
"MFO.1",683.531678627968,-3.02899906014413,28.2350606918335,0.0484330484330485
"MFO.1",683.531678627968,-3.02899906014413,28.1803274154663,0.0484330484330485
"MFO.1",683.531678627968,-3.02899906014413,28.0964291095734,0.0484330484330485
"MFO.1",683.531678627968,-3.02899906014413,28.0320456027985,0.0484330484330485
