"Optimizer","Cost","Gamma","Time","Error"
"HS.2",12.0639835736481,-4.2685001058504,20.2715723514557,0.0541310541310541
"HS.2",12.0639835736481,-4.2685001058504,19.6376407146454,0.0541310541310541
"HS.2",12.0639835736481,-4.2685001058504,19.3100838661194,0.0541310541310541
"HS.2",12.0639835736481,-4.2685001058504,19.3531184196472,0.0541310541310541
"HS.2",12.0639835736481,-4.2685001058504,19.3443012237549,0.0541310541310541
"HS.2",12.0639835736481,-4.2685001058504,19.3822162151337,0.0541310541310541
"HS.2",12.0639835736481,-4.2685001058504,19.3204627037048,0.0541310541310541
"HS.2",12.0639835736481,-4.2685001058504,19.4369106292725,0.0541310541310541
"HS.2",12.0639835736481,-4.2685001058504,19.3958096504211,0.0541310541310541
"HS.2",12.0639835736481,-4.2685001058504,19.3517327308655,0.0541310541310541
