"Optimizer","Cost","Gamma","Time","Error"
"spg.2",32.0019264220736,-4.99998092651412,5.00704169273376,0.0484330484330485
"spg.2",32.0002408027623,-4.99999761581423,3.88538503646851,0.0484330484330485
"spg.2",32.0000870579723,-4.99989996977022,5.17611694335938,0.0512820512820512
"spg.2",31.999999884516,-5.00000001862645,5.09364914894104,0.0484330484330485
"spg.2",32,-5.00000238418522,4.69448041915894,0.0484330484330485
"spg.2",32.0002705819651,-5.00028147302284,6.7439546585083,0.0370370370370371
"spg.2",31.999943342818,-4.99975148161951,3.72498726844788,0.0541310541310541
"spg.2",31.9999852180486,-5.0000023841857,5.64776563644409,0.0484330484330485
"spg.2",32.0001761878109,-4.99997965377492,3.67325091362,0.0512820512820512
"spg.2",32,-5.00015258784485,7.16755199432373,0.0427350427350427
