"Optimizer","Cost","Gamma","Time","Error"
"optim.2",32,-5.03575836325782,16.4536669254303,0.056980056980057
"optim.2",32,-5,9.56668567657471,0.0541310541310541
"optim.2",32,-5,8.33497977256775,0.0541310541310541
"optim.2",32.4084856193503,-4.99595558792722,12.4383680820465,0.0541310541310541
"optim.2",30.884797155597,-4.64025714696679,13.2949635982513,0.0541310541310541
"optim.2",31.8934823112528,-5.02708079908769,8.3297324180603,0.0541310541310541
"optim.2",31.1405330675651,-4.72275260244036,10.3702869415283,0.0512820512820512
"optim.2",32.0007693994718,-5.00000539877284,10.4518055915833,0.0626780626780626
"optim.2",31.1362871711284,-3.90623690856621,17.1315834522247,0.056980056980057
"optim.2",31.477992665827,-4.79517944989177,9.02906680107117,0.056980056980057
