"Optimizer","Nu","Iter","Depth","Error","Time"
"lbfgsb3.2",0.699977171017752,100,2,0.0797720797720798,11319.5862457752
"lbfgsb3.2",0.700563753692716,100,2,0.0826210826210826,15503.4413073063
"lbfgsb3.2",0.7,100,2,0.0797720797720798,28790.1634094715
"lbfgsb3.2",0.700000000000227,100,2,0.0769230769230769,22609.2941553593
"lbfgsb3.2",0.700753807108916,100,2,0.0769230769230769,21302.3732759953
"lbfgsb3.2",0.700010066193236,100,2,0.0769230769230769,13888.4576795101
"lbfgsb3.2",0.705784882602235,100,2,0.0712250712250712,20549.4685690403
"lbfgsb3.2",0.700556254273958,100,2,0.0626780626780627,16547.1349551678
"lbfgsb3.2",0.7,100,2,0.0740740740740741,12259.5980753899
"lbfgsb3.2",0.7,100,2,0.0854700854700855,14460.5740218163
