"Optimizer","Nu","Iter","Depth","Error","Time"
"alo.1",0.1964071354598,190,12,0.0769230769230769,2371.30266976357
"alo.1",0.0836591257619494,198,14,0.0655270655270655,2598.2405731678
"alo.1",0.600751432463062,168,15,0.0655270655270655,2381.92519402504
"alo.1",0.13119006282603,215,7,0.0626780626780627,2573.33218121529
"alo.1",0.257823573919318,256,17,0.0626780626780627,2798.45524382591
"alo.1",0.175356856305152,270,15,0.0683760683760684,2665.65353941917
"alo.1",0.01,148,5,0.0712250712250712,1969.75101900101
"alo.1",0.401082572637669,282,14,0.0769230769230769,3084.85740590096
"alo.1",0.999697913778946,207,19,0.0740740740740741,2251.72579360008
"alo.1",0.669524429817635,300,20,0.0683760683760684,3223.2741932869
