"Optimizer","Nu","Iter","Depth","Error","Time"
"hjkb.2",0.372367095947266,102,2,0.056980056980057,14793.6012525558
"hjkb.2",0.692755889892578,102,3,0.0598290598290598,15577.1896359921
"hjkb.2",0.0827400207519531,102,3,0.056980056980057,13865.6313323975
"hjkb.2",0.705523681640625,98,1,0.0683760683760684,12354.8262441158
"hjkb.2",0.629813385009766,100,3,0.056980056980057,15105.8702094555
"hjkb.2",0.651225280761719,101,1,0.056980056980057,10728.8085877895
"hjkb.2",0.11058349609375,99,3,0.0541310541310541,11854.0954172611
"hjkb.2",0.612559509277344,99,3,0.0598290598290598,14011.130243063
"hjkb.2",0.215354156494141,99,3,0.0626780626780627,13155.647087574
"hjkb.2",0.979281616210937,99,1,0.0626780626780627,14416.4652187824
