"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"hjn.1",500,5,8,0.09,0.240885416666667,64.0932679176331
"hjn.1",501,5,8,0.09,0.240885416666667,93.5483539104462
"hjn.1",503,8,8,0.09,0.24609375,148.605488300323
"hjn.1",499.0000001,7,8,0.1,0.251302083333333,112.129378318787
"hjn.1",500,5,7,0.091,0.239583333333333,93.0548417568207
"hjn.1",500,5,7,0.09,0.2421875,109.450337409973
"hjn.1",502,5,8,0.09,0.2421875,105.292087078094
"hjn.1",501,8,8,0.011,0.227864583333333,190.997757911682
"hjn.1",505,7,8,0.011,0.22265625,173.457266569138
"hjn.1",500.99,5,9,0.011,0.2265625,134.733470678329
