"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"spg.2",499.999753225774,5,8,0.089969859228719,0.2421875,920.057577371597
"spg.2",500.000097543292,5,8,0.0899880129979525,0.244791666666667,518.998050451279
"spg.2",500.000002460503,5,8,0.0899999769757325,0.247395833333333,426.925926923752
"spg.2",499.998956407029,5,8,0.0898722028182451,0.240885416666667,600.148627996445
"spg.2",499.999861646693,5,8,0.0899994659501819,0.243489583333333,709.944771528244
"spg.2",499.999823793994,5,8,0.0899415501631455,0.243489583333333,339.338896036148
"spg.2",499.999655494845,5,8,0.0899073913648482,0.240885416666667,1397.6633412838
"spg.2",500.000722864855,5,8,0.0898207373408957,0.24609375,512.153411388397
"spg.2",500.000007399972,5,8,0.0899999517860764,0.247395833333333,678.189993619919
"spg.2",500.000198682148,5,8,0.0899993209838913,0.248697916666667,513.043860435486
