"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"alo.2",2424.73214639844,6,11,0.00314802536549496,0.256510416666667,2672.73591971397
"alo.2",69.1993710129392,6,6,0.0553090857841104,0.243489583333333,607.303103685379
"alo.2",1328.95504266056,4,10,0.00582388796051939,0.240885416666667,1058.39052653313
"alo.2",111.875771151487,1,5,0.0875241194866215,0.236979166666667,468.993828773499
"alo.2",95.3876839277923,12,5,0.0434924729390226,0.244791666666667,701.775814294815
"alo.2",1817.44502418736,1,8,0.0414457896643785,0.248697916666667,1031.24775576591
"alo.2",68.5019898710198,5,9,0.0684979590828831,0.225260416666667,354.398772239685
"alo.2",332.018335655604,1,5,0.0111412818572185,0.234375,680.736058712006
"alo.2",1164.62967660316,3,11,0.0181271094151607,0.25390625,1016.84866428375
"alo.2",528.285230068155,13,7,0.00520352671505308,0.23828125,1208.07292342186
