"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"ffa.2",2375.08892217884,11,9,0.07625647667679,1e+300,0.859630823135376
"ffa.2",889.534408238251,7,9,0.0343064635449555,1e+300,0.475842237472534
"ffa.2",2324.09201920964,5,8,0.0530122868095059,1e+300,0.426002502441406
"ffa.2",1713.91574798543,13,5,0.0916375844962895,1916.00094925914,36.3365445137024
"ffa.2",3040.07037071632,9,5,0.1,1802.01123799146,57.7679257392883
"ffa.2",4702.01774505465,3,5,0.0770470124427229,2139.58738566675,85.5351138114929
"ffa.2",4772.59067522655,12,6,0.001,1e+300,84.1749558448792
"ffa.2",3627.03150582109,5,5,0.1,2601.39970694055,63.1386358737946
"ffa.2",2233.45969755533,13,6,0.001,1e+300,36.3905997276306
"ffa.2",1933.6712053779,6,5,0.1,2295.38231904006,38.0815994739532
