"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"hjn.50",2001,6,5,0.01,1981534945.50082,94.2919681072235
"hjn.50",2001.09998,9,5,0.01,1704497726.5106,112.927387237549
"hjn.50",2001.00001,7,5,0.01,1792212194.32494,85.221118927002
"hjn.50",1998,7,5,0.010001,1948574176.80624,92.0561172962189
"hjn.50",1999.9,8,5,0.009,1914351298.00781,86.8822667598724
"hjn.50",2001,8,5,0.01,1893070918.84407,70.9444599151611
"hjn.50",2006,13,5,0.01,1779383780.73088,79.7497777938843
"hjn.50",2002,9,5,0.01,1593255171.88282,95.7922937870026
"hjn.50",2000,10,5,0.1,2022785327.57571,74.4272990226746
"hjn.50",2002,7,5,0.001,1637461039.21919,77.527839422226
