"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"hjkb.1",498.983123779297,5,6,0.0266378784179687,0.146428571428571,1855.71916937828
"hjkb.1",500.431755065918,4,8,0.0488858947753906,0.152380952380952,2295.20559978485
"hjkb.1",498.327621459961,4,8,0.0254820251464844,0.14047619047619,1623.02653455734
"hjkb.1",500.617286682129,3,8,0.0773466491699219,0.147619047619048,1542.10090374947
"hjkb.1",498.931621551514,5,7,0.0169599914550781,0.146428571428571,1972.17059922218
"hjkb.1",500.083789825439,5,7,0.0622480773925781,0.147619047619048,2312.39838457108
"hjkb.1",500.763492584229,6,7,0.0675657653808594,0.144047619047619,2488.22690343857
"hjkb.1",495.604415893555,3,8,0.0235784912109375,0.14047619047619,1487.50751852989
"hjkb.1",498.032920837402,7,6,0.0610884094238281,0.15,2562.82828617096
"hjkb.1",500.36710357666,4,8,0.01656396484375,0.148809523809524,1708.45047450066
