"Optimizer","Cost","Gamma","Time","Error"
"GWO.1",486.760895810285,-6.75052039967009,115.269511938095,0.115384615384615
"GWO.1",486.760895810285,-6.75052039967009,110.333664655685,0.115384615384615
"GWO.1",486.760895810285,-6.75052039967009,108.961998462677,0.115384615384615
"GWO.1",486.760895810285,-6.75052039967009,109.494121313095,0.115384615384615
"GWO.1",486.760895810285,-6.75052039967009,109.663621902466,0.115384615384615
"GWO.1",486.760895810285,-6.75052039967009,110.298748016357,0.115384615384615
"GWO.1",486.760895810285,-6.75052039967009,108.752343893051,0.115384615384615
"GWO.1",486.760895810285,-6.75052039967009,108.685212135315,0.115384615384615
"GWO.1",486.760895810285,-6.75052039967009,108.527262926102,0.115384615384615
"GWO.1",486.760895810285,-6.75052039967009,109.957013368607,0.115384615384615
