"Cost","Gamma","Epsilon","MSE","MSE_UCL","Time"
-9,7,0.8,1516.47395356984,2209.65726178113,0.01900315284729
-9,8,0.8,1521.95177638364,2254.23822630715,0.0185966491699219
-9,9,0.8,1546.94991575975,2270.24387869143,0.0212728977203369
-9,10,0.8,1525.33150665503,2152.7957908131,0.0189249515533447
-8,-25,0.8,1529.45553824992,2302.37559676438,0.0164122581481934
-8,-24,0.8,1525.77966756224,2160.9796872261,0.0162954330444336
-8,-23,0.8,1536.97615975875,2167.13917664912,0.0188531875610352
-8,-22,0.8,1533.41124118006,2143.88654282095,0.0165681838989258
-8,-21,0.8,1522.0963987159,2120.70821208154,0.0164949893951416
-8,-20,0.8,1574.57166777559,2295.92091588262,0.018517017364502
-8,-19,0.8,1546.48027048958,2491.58834679813,0.0166146755218506
-8,-18,0.8,1508.70418084936,2425.52746160524,0.016441822052002
-8,-17,0.8,1557.34997980979,3156.0934999598,0.016409158706665
-8,-16,0.8,1584.0949722382,2259.47920318445,0.018965482711792
-8,-15,0.8,1559.36753327148,2478.75458680026,0.0163304805755615
-8,-14,0.8,1549.06769726501,2438.82450733116,0.0163629055023193
-8,-13,0.8,1573.93497823046,2238.14778857572,0.0165462493896484
-8,-12,0.8,1560.54522283907,2408.50467145963,0.0186564922332764
-8,-11,0.8,1510.05431787672,2084.55502783223,0.0165021419525146
-8,-10,0.8,1534.63285893789,2252.87667985488,0.016232967376709
-8,-9,0.8,1557.1255071566,2070.43395475697,0.0163004398345947
-8,-8,0.8,1520.95398541692,2212.15938244506,0.0190327167510986
-8,-7,0.8,1551.34077440675,2426.61422503367,0.0164849758148193
-8,-6,0.8,1508.84781473761,2228.5385223602,0.0165722370147705
-8,-5,0.8,1488.95672140241,2030.32049182742,0.0186164379119873
-8,-4,0.8,1539.92583031108,2277.11209526618,0.0163192749023438
-8,-3,0.8,1555.23767462743,2410.28344551478,0.0165741443634033
-8,-2,0.8,1498.33245214668,2097.45156406591,0.0161364078521729
-8,-1,0.8,1537.09302564929,2171.33148329079,0.0188131332397461
-8,0,0.8,1524.81657953439,2498.46607066336,0.016395092010498
-8,1,0.8,1564.40882245888,2270.23318254768,0.0167860984802246
-8,2,0.8,1535.36934278829,2172.769426902,0.0172834396362305
-8,3,0.8,1485.84679532186,2084.45985178208,0.0201900005340576
-8,4,0.8,1550.67538256359,2052.643322967,0.0226147174835205
-8,5,0.8,1541.82762624354,2205.79876005024,0.0222072601318359
-8,6,0.8,1559.87324983337,2415.14377185914,0.0263464450836182
-8,7,0.8,1555.19807645132,2115.97983655974,0.0200085639953613
-8,8,0.8,1536.35654035213,2233.91655696314,0.0194740295410156
-8,9,0.8,1544.41679239012,2416.55519846413,0.0188140869140625
-8,10,0.8,1493.11464838851,2127.75661440707,0.0212173461914062
-7,-25,0.8,1484.21031739574,2043.31472370702,0.0165822505950928
-7,-24,0.8,1524.35487839226,2458.1288136434,0.0163309574127197
-7,-23,0.8,1535.31674042108,2325.1441273152,0.0163843631744385
-7,-22,0.8,1502.80006200802,2190.84316404062,0.0190227031707764
-7,-21,0.8,1504.57091577991,2258.29744420276,0.0163815021514893
-7,-20,0.8,1544.32852594745,2252.8490970026,0.0162777900695801
-7,-19,0.8,1537.67157642013,2135.14508446053,0.0187456607818604
-7,-18,0.8,1524.33704689598,2253.00777202922,0.0165307521820068
-7,-17,0.8,1508.05501430353,2113.15915389492,0.0166530609130859
-7,-16,0.8,1546.47833588568,2581.86471358159,0.016338586807251
-7,-15,0.8,1560.83199953605,2141.63199138697,0.0188789367675781
-7,-14,0.8,1507.88378260697,2203.23473707624,0.0166113376617432
-7,-13,0.8,1513.22513232409,2340.88395907132,0.0162496566772461
-7,-12,0.8,1529.69719342938,2371.47654494186,0.0189540386199951
-7,-11,0.8,1540.7531218709,2322.51784650885,0.0164942741394043
-7,-10,0.8,1555.6167689227,2479.93126796845,0.0163149833679199
-7,-9,0.8,1565.860680737,2150.19251807529,0.0164053440093994
-7,-8,0.8,1521.00850840164,2331.44171804622,0.0187385082244873
-7,-7,0.8,1513.03142887935,2217.79590563978,0.0165553092956543
-7,-6,0.8,1551.6398807253,2603.48089638108,0.0164854526519775
-7,-5,0.8,1542.22889056014,2905.39235980855,0.0183618068695068
-7,-4,0.8,1586.10976681666,2584.88390727668,0.0165481567382812
-7,-3,0.8,1522.25079610386,2226.94189029987,0.0161561965942383
-7,-2,0.8,1527.49242757567,2096.51321458532,0.0161921977996826
-7,-1,0.8,1531.37556998236,2260.06158204432,0.0186636447906494
-7,0,0.8,1504.01863495658,2328.27859521024,0.0162155628204346
-7,1,0.8,1533.94146746514,2351.75924577622,0.0169637203216553
-7,2,0.8,1526.54766549044,2011.71464642347,0.0173516273498535
-7,3,0.8,1516.06851481266,2104.69303993496,0.0194613933563232
-7,4,0.8,1586.39234429064,2861.88094097402,0.0168988704681396
-7,5,0.8,1542.82996017518,2476.21314970954,0.0180597305297852
-7,6,0.8,1526.14735039332,2132.52817099292,0.0709536075592041
-7,7,0.8,1518.09040246664,2221.86033974704,0.0186882019042969
-7,8,0.8,1522.34307402221,2364.34659702608,0.0188083648681641
-7,9,0.8,1561.92741679502,2375.97609328681,0.0185513496398926
-7,10,0.8,1480.91258591035,2267.34938277353,0.0201683044433594
-6,-25,0.8,1570.47851576314,2527.92875398069,0.0203676223754883
-6,-24,0.8,1551.15691461332,2702.27797075358,0.0205414295196533
-6,-23,0.8,1513.59341964854,2049.17539271854,0.0204601287841797
-6,-22,0.8,1515.12362302622,2434.28454417936,0.0164055824279785
-6,-21,0.8,1500.98318808861,2015.38769506933,0.0165872573852539
-6,-20,0.8,1538.83153767195,2329.3278211458,0.0165290832519531
-6,-19,0.8,1521.71148783644,2418.44282015768,0.0165681838989258
-6,-18,0.8,1506.39888818929,2309.31773992064,0.0165886878967285
-6,-17,0.8,1558.50310987576,2070.11567272641,0.0165700912475586
-6,-16,0.8,1598.30906034561,2483.85066110048,0.018993616104126
-6,-15,0.8,1526.15711384307,2675.07666896284,0.0167617797851562
-6,-14,0.8,1523.50815578673,2202.04311500453,0.0164101123809814
-6,-13,0.8,1563.85293437589,2564.648468447,0.0166525840759277
-6,-12,0.8,1497.70634675209,2037.35755254081,0.0164294242858887
-6,-11,0.8,1528.79114302377,2253.53086954178,0.0164010524749756
-6,-10,0.8,1524.32679266306,2318.32685205625,0.0167217254638672
-6,-9,0.8,1566.87389696391,2178.41324875316,0.0189828872680664
-6,-8,0.8,1573.47746879435,2746.37937038552,0.0166263580322266
-6,-7,0.8,1538.23491487025,2539.87121417618,0.017183780670166
-6,-6,0.8,1482.68739036062,2206.15465789759,0.0175182819366455
-6,-5,0.8,1552.53355420143,2719.66256880853,0.0169723033905029
-6,-4,0.8,1492.40792012202,2013.37068570528,0.0165548324584961
-6,-3,0.8,1522.25169524886,2378.44260615696,0.018810510635376
-6,-2,0.8,1504.13298629981,2085.75182470108,0.0166542530059814
-6,-1,0.8,1509.48815501337,2253.0468573541,0.016237735748291
-6,0,0.8,1502.86802885318,2172.04415672448,0.0163545608520508
-6,1,0.8,1515.13542205125,2272.04827745268,0.0171253681182861
-6,2,0.8,1531.69449854428,2252.12797604953,0.017322301864624
-6,3,0.8,1500.39910891554,2251.57214505927,0.0173494815826416
-6,4,0.8,1527.54273315626,2348.22514358193,0.0198383331298828
