"Optimizer","Cost","Gamma","Time","Error"
"WOA.2",1,-5,109.761748790741,0.145238095238095
"WOA.2",1,-5,109.153527259827,0.145238095238095
"WOA.2",1,-5,108.409301519394,0.145238095238095
"WOA.2",1,-5,108.321780204773,0.145238095238095
"WOA.2",1,-5,108.434546709061,0.145238095238095
"WOA.2",1,-5,108.485891580582,0.145238095238095
"WOA.2",1,-5,108.294904708862,0.145238095238095
"WOA.2",1,-5,108.489698410034,0.145238095238095
"WOA.2",1,-5,108.385299921036,0.145238095238095
"WOA.2",1,-5,108.706841230392,0.145238095238095
