"Optimizer","Cost","Gamma","Time","Error"
"two.2",1023.99992614626,-7.94964995653249,149.947053432465,0.169047619047619
"two.2",1023.99992614626,-7.69869132672581,161.253375768661,0.169047619047619
"two.2",1023.99992614626,-7.14087303500964,141.363723039627,0.159523809523809
"two.2",1023.99992614626,-8.00921874386547,151.805723905563,0.173809523809524
"two.2",1023.99992614626,-7.90082800062286,145.122495412827,0.161904761904762
"two.2",1023.99992614626,-5.2801493129042,118.95227432251,0.201190476190476
"two.2",1023.99992614626,-9.31122669443714,133.833436965942,0.153571428571429
"two.2",1023.99992614626,-9.34683375069893,130.719707012177,0.160714285714286
"two.2",1023.99992614626,-3.09419648211348,123.972556829453,0.183333333333333
"two.2",1023.99992614626,-2.74469302882106,127.73774766922,0.177380952380952
