"Optimizer","Cost","Gamma","Time","Error"
"GOA.1",261.688840132012,-6.52728110343486,1206.48074173927,0.152380952380952
"GOA.1",261.688840132012,-6.52728110343486,1156.73492336273,0.152380952380952
"GOA.1",261.688840132012,-6.52728110343486,1151.00421237946,0.152380952380952
"GOA.1",261.688840132012,-6.52728110343486,1148.2386906147,0.152380952380952
"GOA.1",261.688840132012,-6.52728110343486,1148.39953923225,0.152380952380952
"GOA.1",261.688840132012,-6.52728110343486,1142.22002506256,0.152380952380952
"GOA.1",261.688840132012,-6.52728110343486,1139.19849634171,0.152380952380952
"GOA.1",261.688840132012,-6.52728110343486,1133.87723469734,0.152380952380952
"GOA.1",261.688840132012,-6.52728110343486,1132.65533256531,0.152380952380952
"GOA.1",261.688840132012,-6.52728110343486,1128.50266504288,0.152380952380952
