"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"goa.1",2280.85191621077,12,7,0.0287075380219568,10.7216417907219,1145.00257778168
"goa.1",1508.35422384829,8,5,0.0755907397606878,8.51374313024193,576.283783197403
"goa.1",4498.1408698797,4,5,0.0184681641852801,8.52252043461924,841.875955581665
"goa.1",3919.37987077657,11,5,0.0941436886286542,8.34152459221713,1828.70390892029
"goa.1",1658.66205497329,11,5,0.0193334284856557,9.09111251196993,841.168574571609
"goa.1",407.114556623665,5,7,0.0612115572810097,9.45495544547468,191.34162902832
"goa.1",3652.31338153874,12,5,0.0405709020675813,8.73047010623441,1885.63602519035
"goa.1",1715.60859046433,4,6,0.0312333400346276,8.47781676199902,371.426389932632
"goa.1",1192.82328860838,12,5,0.0488554522408463,8.25275585943663,593.290161132812
"goa.1",4155.92213944765,9,9,0.00901505552930757,10.8149931763156,1540.35952806473
