"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"alo.1",3038.03199962851,9,6,0.0613111165092291,9.55073674427161,1069.73550796509
"alo.1",2450.79967081361,6,6,0.0782719938162889,9.16930793730636,808.052973031998
"alo.1",1349.08570225842,6,5,0.0847016195812028,8.86400659145676,652.310137748718
"alo.1",3471.7883591631,14,6,0.0251138613374915,8.43027526043494,1691.57066106796
"alo.1",4296.0424737605,6,7,0.0122115555259909,8.09066667327044,1329.90974617004
"alo.1",1988.74463378665,15,5,0.0452945960292199,10.1931366022626,1170.88250613213
"alo.1",3150.02602210492,8,6,0.0582701915917642,8.68053708935958,1080.24323153496
"alo.1",5000,15,10,0.0560344108983409,9.78854327294502,2332.36867427826
"alo.1",2629.91005164413,14,5,0.0605563536428837,10.867328822997,1481.21613121033
"alo.1",2739.97501386982,7,5,0.024675519627936,7.70614317663456,863.103850126266
