data,method,optimizer,fast,cross,loss_type,time,loss,loss_mse_acc_10,loss_mae_auc_10
Sonar,ada,hjn,50,10,auc,256.090212583542,0.885898468976631,0.860576923076923,0.924770130955698
Sonar,ada,hjn,50,10,auc,192.790432691574,0.895270270270271,0.841346153846154,0.936844060555401
Sonar,ada,hjn,50,10,auc,239.932368278503,0.889121676067687,0.817307692307692,0.896535710968701
Sonar,ada,hjn,50,10,auc,205.493945598602,0.894762288477034,0.841346153846154,0.910745797343735
Sonar,ada,hjn,50,10,auc,259.328083515167,0.891688061617458,0.826923076923077,0.916597009380515
Sonar,ada,hjn,50,10,auc,258.685794353485,0.888318356867779,0.865384615384615,0.93517228568775
Sonar,ada,hjn,50,10,auc,204.753771066666,0.898008742107819,0.836538461538462,0.913810717934429
Sonar,ada,hjn,50,10,auc,236.035215854645,0.918245102800713,0.8125,0.908609640568403
Sonar,ada,hjn,50,10,auc,198.480400800705,0.888133398089687,0.846153846153846,0.926813411349494
Sonar,ada,hjn,50,10,auc,224.279142856598,0.893634165995166,0.846153846153846,0.924212872666482
