"NumTrees","MinNode","Shrinkage","IntDepth","MSE","MSE.UCL","Time"
1150,9,-1,15,NA,NA,0.0423102378845215
1150,10,-1,15,NA,NA,0.444045066833496
1150,11,-1,15,NA,NA,0.00399160385131836
1150,12,-1,15,NA,NA,0.00356698036193848
1200,5,-1,15,Inf,NA,0.391440868377686
1200,6,-1,15,NA,NA,0.00499176979064941
1200,7,-1,15,NA,NA,0.00470256805419922
1200,8,-1,15,NA,NA,0.0339615345001221
1200,9,-1,15,NA,NA,0.00394773483276367
1200,10,-1,15,NA,NA,0.00389814376831055
1200,11,-1,15,NA,NA,0.00419020652770996
1200,12,-1,15,NA,NA,0.00424289703369141
1250,5,-1,15,Inf,NA,0.264896869659424
1250,6,-1,15,NA,NA,0.00402069091796875
1250,7,-1,15,NA,NA,0.00360274314880371
1250,8,-1,15,NA,NA,0.00370383262634277
1250,9,-1,15,NA,NA,0.00372314453125
1250,10,-1,15,NA,NA,0.00355744361877441
1250,11,-1,15,NA,NA,0.00378537178039551
1250,12,-1,15,NA,NA,0.00354456901550293
1300,5,-1,15,Inf,NA,0.273539543151855
1300,6,-1,15,NA,NA,0.00392532348632812
1300,7,-1,15,NA,NA,0.00384712219238281
1300,8,-1,15,NA,NA,0.00384354591369629
1300,9,-1,15,NA,NA,0.00358867645263672
1300,10,-1,15,NA,NA,0.0037379264831543
1300,11,-1,15,NA,NA,0.00424051284790039
1300,12,-1,15,NA,NA,0.00383877754211426
1350,5,-1,15,Inf,NA,0.266075134277344
1350,6,-1,15,NA,NA,0.0038909912109375
1350,7,-1,15,NA,NA,0.00422954559326172
1350,8,-1,15,NA,NA,0.0035858154296875
1350,9,-1,15,NA,NA,0.00390768051147461
1350,10,-1,15,NA,NA,0.00355648994445801
1350,11,-1,15,NA,NA,0.00381016731262207
1350,12,-1,15,NA,NA,0.00368833541870117
1400,5,-1,15,Inf,NA,0.28793740272522
1400,6,-1,15,NA,NA,0.00401616096496582
1400,7,-1,15,NA,NA,0.00358104705810547
1400,8,-1,15,NA,NA,0.00382304191589355
1400,9,-1,15,NA,NA,0.00350141525268555
1400,10,-1,15,NA,NA,0.00386857986450195
1400,11,-1,15,NA,NA,0.00354480743408203
1400,12,-1,15,NA,NA,0.00357532501220703
1450,5,-1,15,Inf,NA,0.303355932235718
1450,6,-1,15,NA,NA,0.00368452072143555
1450,7,-1,15,NA,NA,0.00385546684265137
1450,8,-1,15,NA,NA,0.00357437133789062
1450,9,-1,15,NA,NA,0.00365161895751953
1450,10,-1,15,NA,NA,0.00369834899902344
1450,11,-1,15,NA,NA,0.00351095199584961
1450,12,-1,15,NA,NA,0.00382876396179199
1500,5,-1,15,Inf,NA,0.340299367904663
1500,6,-1,15,NA,NA,0.00374698638916016
1500,7,-1,15,NA,NA,0.00379848480224609
1500,8,-1,15,NA,NA,0.0035560131072998
1500,9,-1,15,NA,NA,0.00380873680114746
1500,10,-1,15,NA,NA,0.00364351272583008
1500,11,-1,15,NA,NA,0.00361371040344238
1500,12,-1,15,NA,NA,0.00385355949401855
1550,5,-1,15,Inf,NA,0.427341938018799
1550,6,-1,15,NA,NA,0.00469088554382324
1550,7,-1,15,NA,NA,0.00396466255187988
1550,8,-1,15,NA,NA,0.00407195091247559
1550,9,-1,15,NA,NA,0.00406789779663086
1550,10,-1,15,NA,NA,0.00397372245788574
1550,11,-1,15,NA,NA,0.00424957275390625
1550,12,-1,15,NA,NA,0.00402164459228516
1600,5,-1,15,Inf,NA,0.301312446594238
1600,6,-1,15,NA,NA,0.00398635864257812
1600,7,-1,15,NA,NA,0.00360321998596191
1600,8,-1,15,NA,NA,0.00360727310180664
1600,9,-1,15,NA,NA,0.00359463691711426
1600,10,-1,15,NA,NA,0.00362110137939453
1600,11,-1,15,NA,NA,0.00375247001647949
1600,12,-1,15,NA,NA,0.00363063812255859
1650,5,-1,15,Inf,NA,0.396466255187988
1650,6,-1,15,NA,NA,0.00378870964050293
1650,7,-1,15,NA,NA,0.00365138053894043
1650,8,-1,15,NA,NA,0.00376009941101074
1650,9,-1,15,NA,NA,0.00360822677612305
1650,10,-1,15,NA,NA,0.00362825393676758
1650,11,-1,15,NA,NA,0.00359320640563965
1650,12,-1,15,NA,NA,0.00363254547119141
1700,5,-1,15,Inf,NA,0.298212766647339
1700,6,-1,15,NA,NA,0.00375795364379883
1700,7,-1,15,NA,NA,0.00380945205688477
1700,8,-1,15,NA,NA,0.00390100479125977
1700,9,-1,15,NA,NA,0.00362968444824219
1700,10,-1,15,NA,NA,0.00391697883605957
1700,11,-1,15,NA,NA,0.00363826751708984
1700,12,-1,15,NA,NA,0.00388908386230469
1750,5,-1,15,Inf,NA,0.304594039916992
1750,6,-1,15,NA,NA,0.00375628471374512
1750,7,-1,15,NA,NA,0.00375843048095703
1750,8,-1,15,NA,NA,0.00348114967346191
1750,9,-1,15,NA,NA,0.00383520126342773
1750,10,-1,15,NA,NA,0.00355434417724609
1750,11,-1,15,NA,NA,0.00351095199584961
1750,12,-1,15,NA,NA,0.00376224517822266
1800,5,-1,15,Inf,NA,0.312209844589233
1800,6,-1,15,NA,NA,0.00379776954650879
1800,7,-1,15,NA,NA,0.0045311450958252
1800,8,-1,15,NA,NA,0.00392436981201172
1800,9,-1,15,NA,NA,0.00367617607116699
1800,10,-1,15,NA,NA,0.00404787063598633
1800,11,-1,15,NA,NA,0.00395655632019043
1800,12,-1,15,NA,NA,0.00416350364685059
1850,5,-1,15,Inf,NA,0.300800800323486
1850,6,-1,15,NA,NA,0.00376677513122559
1850,7,-1,15,NA,NA,0.00391936302185059
1850,8,-1,15,NA,NA,0.00369763374328613
1850,9,-1,15,NA,NA,0.00385355949401855
1850,10,-1,15,NA,NA,0.00364279747009277
1850,11,-1,15,NA,NA,0.0034635066986084
1850,12,-1,15,NA,NA,0.00379562377929688
1900,5,-1,15,Inf,NA,0.321040153503418
1900,6,-1,15,NA,NA,0.00386881828308105
1900,7,-1,15,NA,NA,0.00350189208984375
1900,8,-1,15,NA,NA,0.0039973258972168
1900,9,-1,15,NA,NA,0.00379419326782227
1900,10,-1,15,NA,NA,0.00358271598815918
1900,11,-1,15,NA,NA,0.00380325317382812
1900,12,-1,15,NA,NA,0.00400352478027344
1950,5,-1,15,Inf,NA,0.322764873504639
1950,6,-1,15,NA,NA,0.00377058982849121
1950,7,-1,15,NA,NA,0.00371909141540527
1950,8,-1,15,NA,NA,0.00385904312133789
1950,9,-1,15,NA,NA,0.00353527069091797
1950,10,-1,15,NA,NA,0.00362133979797363
1950,11,-1,15,NA,NA,0.00371551513671875
1950,12,-1,15,NA,NA,0.00361108779907227
2000,5,-1,15,Inf,NA,0.329128980636597
2000,6,-1,15,NA,NA,0.00400137901306152
2000,7,-1,15,NA,NA,0.00357484817504883
2000,8,-1,15,NA,NA,0.00382590293884277
2000,9,-1,15,NA,NA,0.00355839729309082
2000,10,-1,15,NA,NA,0.00352764129638672
2000,11,-1,15,NA,NA,0.00383520126342773
2000,12,-1,15,NA,NA,0.00361990928649902
50,5,-2,15,6.30867940016841e+45,9.53501632604534e+45,0.102648019790649
50,6,-2,15,NA,NA,0.00413775444030762
50,7,-2,15,NA,NA,0.00391817092895508
50,8,-2,15,NA,NA,0.00454378128051758
50,9,-2,15,NA,NA,0.0185866355895996
50,10,-2,15,NA,NA,0.00504779815673828
50,11,-2,15,NA,NA,0.00470066070556641
50,12,-2,15,NA,NA,0.00411868095397949
100,5,-2,15,2.87376190654956e+93,4.37300203246051e+93,0.132288455963135
100,6,-2,15,NA,NA,0.00411033630371094
100,7,-2,15,NA,NA,0.0063471794128418
100,8,-2,15,NA,NA,0.0050349235534668
100,9,-2,15,NA,NA,0.00527238845825195
100,10,-2,15,NA,NA,0.00435090065002441
100,11,-2,15,NA,NA,0.00449633598327637
100,12,-2,15,NA,NA,0.00422883033752441
150,5,-2,15,7.18597204201958e+140,1.12352139219449e+141,0.130117177963257
150,6,-2,15,NA,NA,0.00390863418579102
150,7,-2,15,NA,NA,0.00458121299743652
150,8,-2,15,NA,NA,0.00467467308044434
150,9,-2,15,NA,NA,0.00466299057006836
150,10,-2,15,NA,NA,0.00437641143798828
150,11,-2,15,NA,NA,0.00369906425476074
150,12,-2,15,NA,NA,0.00388741493225098
200,5,-2,15,7.05780634328645e+188,Inf,0.131654739379883
200,6,-2,15,NA,NA,0.00374221801757812
200,7,-2,15,NA,NA,0.00417065620422363
200,8,-2,15,NA,NA,0.00471305847167969
200,9,-2,15,NA,NA,0.0039818286895752
200,10,-2,15,NA,NA,0.00393533706665039
200,11,-2,15,NA,NA,0.00368666648864746
200,12,-2,15,NA,NA,0.00463104248046875
250,5,-2,15,5.20003980256029e+236,Inf,0.153731822967529
250,6,-2,15,NA,NA,0.00449061393737793
250,7,-2,15,NA,NA,0.00467371940612793
250,8,-2,15,NA,NA,0.00455164909362793
250,9,-2,15,NA,NA,0.00470805168151855
250,10,-2,15,NA,NA,0.00398945808410645
250,11,-2,15,NA,NA,0.00389885902404785
250,12,-2,15,NA,NA,0.00356841087341309
300,5,-2,15,2.35513102888068e+284,Inf,0.14990758895874
300,6,-2,15,NA,NA,0.00374698638916016
300,7,-2,15,NA,NA,0.00390124320983887
300,8,-2,15,NA,NA,0.00357604026794434
300,9,-2,15,NA,NA,0.00389623641967773
300,10,-2,15,NA,NA,0.00358247756958008
300,11,-2,15,NA,NA,0.00663065910339355
300,12,-2,15,NA,NA,0.00421667098999023
350,5,-2,15,Inf,NA,0.15731406211853
350,6,-2,15,NA,NA,0.00510668754577637
350,7,-2,15,NA,NA,0.00427818298339844
350,8,-2,15,NA,NA,0.00379371643066406
350,9,-2,15,NA,NA,0.00404763221740723
350,10,-2,15,NA,NA,0.00370144844055176
350,11,-2,15,NA,NA,0.00390887260437012
350,12,-2,15,NA,NA,0.00404095649719238
400,5,-2,15,Inf,NA,0.175154209136963
400,6,-2,15,NA,NA,0.00414323806762695
400,7,-2,15,NA,NA,0.00490045547485352
400,8,-2,15,NA,NA,0.00469589233398438
400,9,-2,15,NA,NA,0.00468683242797852
400,10,-2,15,NA,NA,0.00450325012207031
400,11,-2,15,NA,NA,0.00455570220947266
400,12,-2,15,NA,NA,0.00453853607177734
450,5,-2,15,Inf,NA,0.187296152114868
450,6,-2,15,NA,NA,0.0045781135559082
450,7,-2,15,NA,NA,0.00450897216796875
450,8,-2,15,NA,NA,0.00536179542541504
450,9,-2,15,NA,NA,0.00474715232849121
450,10,-2,15,NA,NA,0.00387954711914062
450,11,-2,15,NA,NA,0.00365161895751953
450,12,-2,15,NA,NA,0.00387191772460938
500,5,-2,15,Inf,NA,0.199827194213867
500,6,-2,15,NA,NA,0.00397872924804688
500,7,-2,15,NA,NA,0.0042579174041748
500,8,-2,15,NA,NA,0.0044407844543457
500,9,-2,15,NA,NA,0.00413966178894043
500,10,-2,15,NA,NA,0.00390529632568359
500,11,-2,15,NA,NA,0.00389218330383301
500,12,-2,15,NA,NA,0.00385594367980957
550,5,-2,15,Inf,NA,0.193524837493896
550,6,-2,15,NA,NA,0.00403165817260742
550,7,-2,15,NA,NA,0.00354933738708496
550,8,-2,15,NA,NA,0.0038905143737793
550,9,-2,15,NA,NA,0.00494480133056641
550,10,-2,15,NA,NA,0.00550985336303711
550,11,-2,15,NA,NA,0.00468730926513672
550,12,-2,15,NA,NA,0.00484085083007812
600,5,-2,15,Inf,NA,0.213286638259888
600,6,-2,15,NA,NA,0.00371456146240234
600,7,-2,15,NA,NA,0.00449752807617188
600,8,-2,15,NA,NA,0.00423884391784668
600,9,-2,15,NA,NA,0.00456142425537109
600,10,-2,15,NA,NA,0.00464916229248047
600,11,-2,15,NA,NA,0.00574731826782227
600,12,-2,15,NA,NA,0.00467658042907715
650,5,-2,15,Inf,NA,0.237585306167603
650,6,-2,15,NA,NA,0.00473856925964355
650,7,-2,15,NA,NA,0.00457286834716797
650,8,-2,15,NA,NA,0.00455212593078613
650,9,-2,15,NA,NA,0.00474119186401367
650,10,-2,15,NA,NA,0.00473380088806152
650,11,-2,15,NA,NA,0.00471949577331543
650,12,-2,15,NA,NA,0.00452065467834473
700,5,-2,15,Inf,NA,0.251816511154175
700,6,-2,15,NA,NA,0.00442838668823242
700,7,-2,15,NA,NA,0.00360441207885742
700,8,-2,15,NA,NA,0.00385522842407227
700,9,-2,15,NA,NA,0.00351834297180176
700,10,-2,15,NA,NA,0.00386881828308105
700,11,-2,15,NA,NA,0.00357484817504883
700,12,-2,15,NA,NA,0.00409412384033203
750,5,-2,15,Inf,NA,0.260215520858765
750,6,-2,15,NA,NA,0.00467443466186523
750,7,-2,15,NA,NA,0.00476503372192383
750,8,-2,15,NA,NA,0.00440692901611328
750,9,-2,15,NA,NA,0.00480961799621582
750,10,-2,15,NA,NA,0.00411462783813477
750,11,-2,15,NA,NA,0.00384998321533203
