"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"spg.1",1.99966355946042,-5.00121225545679,0.399831065123619,81.1212594509125,34.970363407887
"spg.1",2.0006715708743,-5.00116143083428,0.399466100453831,77.157027721405,34.9360798839161
"spg.1",2.0090478346907,-5.00109960328793,0.399886325211371,77.296359539032,34.6033620373204
"spg.1",2.00323297459872,-5.00084635545776,0.399707022148759,78.3061592578888,34.7263470162939
"spg.1",2.00212922091817,-4.99969310395175,0.400196381174972,77.7837333679199,34.2516159040858
"spg.1",1.99985739345082,-5.00058351368779,0.39992684736148,75.920966386795,34.5737545018726
"spg.1",2.00094406722357,-5.00007313454124,0.399743166337432,77.6240754127502,35.0018739060394
"spg.1",1.99958867054202,-5.00096758278922,0.399648150846548,76.9200439453125,34.6203287479038
"spg.1",1.99986288945536,-5.00064872030706,0.399946459919688,75.2002704143524,34.9325232716036
"spg.1",1.99983898940378,-4.99983520652716,0.399867490036613,77.7964503765106,35.0503349805794
