"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"lbfgsb3.1",2.00002395644157,-4.99999989346191,0.399999653494339,6.3034405708313,44.0464712425763
"lbfgsb3.1",2,-5,0.4,4.65283679962158,41.990900549407
"lbfgsb3.1",1.99881165833882,-4.99405829169408,0.400118834166118,3.80661845207214,43.1301065001402
"lbfgsb3.1",1.99999871905061,-5.00000641914733,0.39999945709463,4.80427408218384,39.9281219232095
"lbfgsb3.1",1.99724847775773,-5.01375760865058,0.398899359227025,6.00933051109314,40.6131083478256
"lbfgsb3.1",1.99487922692487,-5.02560386537563,0.400512077307513,5.86923694610596,45.6837444608826
"lbfgsb3.1",1.98544315060394,-4.927216484016,0.394177403298868,3.07857871055603,49.1087103725171
"lbfgsb3.1",2.16333576936332,-5.00079909867595,0.400015981973519,5.65595197677612,39.8550351787833
"lbfgsb3.1",1.99988257927656,-4.99941289638279,0.400011742072344,3.69276356697083,45.8003787770802
"lbfgsb3.1",1.99832738655063,-4.99163817526326,0.399331540986736,4.41225910186768,43.2604202138819
