"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"da.1",945.270215612371,-4,0,55.8390114307404,9.506850297779
"da.1",557.296640300658,-3,0,119.912981987,8.69693767304659
"da.1",281.985507374071,-4,0,89.2178399562836,10.3398737981212
"da.1",451.129399685617,-4,0,63.2809333801269,9.58803396772211
"da.1",805.71510228178,-3,0,43.0921008586884,9.69093133637023
"da.1",336.710425979793,-3,0,37.1651623249054,8.75430637284854
"da.1",67.4199494610896,-4,0,103.661320447922,8.21741559398613
"da.1",117.561658559833,-6,0,49.0813097953796,9.72438898206542
"da.1",93.2014832300497,-3,0,27.7647423744202,9.40243782383265
"da.1",543.823996368319,-4,0,90.3337707519531,9.84919863518179
