"Optimizer","Cost","Gamma","Epsilon","Time","MSE"
"ga.100",462.653697386384,-4.24791377782822,0.126080855727196,7.84863662719727,11.916532243476
"ga.100",988.614758163691,-5.09762062132359,0.149119094014168,4.21236801147461,11.3125960157899
"ga.100",265.405371457338,-6.34142687916756,0.253094375133514,7.70661950111389,11.0154954311978
"ga.100",528.389702603221,-7.70065200328827,0.115021511912346,4.16833162307739,12.0368441818674
"ga.100",680.780046187764,-4.86531180926393,0.210749559038716,7.0442943572998,12.3889332480518
"ga.100",905.434462592006,-4.88609705865383,0.223566725850105,4.07527995109558,13.0269460377599
"ga.100",469.349420592189,-5.26805521547794,0.234693124890327,5.18399500846863,11.3532193750314
"ga.100",726.591853812337,-7.00326827168465,0.195575475692749,6.98446941375732,11.7387718648988
"ga.100",843.13227853179,-5.85586443543434,0.243515744805336,3.98109769821167,12.0180873998351
"ga.100",69.4794249683619,-5.81809921562672,0.277349501848221,6.80545568466187,11.7872599247273
