"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"ga.1500",2113,12,9,0.0501776502562924,0.140268076269587,3513.38390803337
"ga.1500",2151,13,7,0.0642498346021699,0.143949405323768,3211.88777685165
"ga.1500",1896,7,9,0.0467042141192767,0.146498017745894,2974.6832420826
"ga.1500",1892,14,8,0.032917258635878,0.139040966584859,2913.94669771194
"ga.1500",1630,14,9,0.0890113237915359,0.144515763639796,3023.52814817429
"ga.1500",2017,12,10,0.0483132451781566,0.144987728903153,3301.65291404724
"ga.1500",1460,10,8,0.079418957233429,0.145459694166509,3329.2651860714
"ga.1500",2182,11,9,0.0604605462410752,0.143760619218426,3350.14862680435
"ga.1500",1044,15,11,0.094319039434909,0.145648480271852,2245.51291680336
"ga.1500",1728,10,8,0.0675758627991759,0.141589579006985,3506.18650865555
