"NumTrees","MinNode","Shrinkage","IntDepth","Accuracy","Acc.LCL","Time"
1050,5,-1,9,0.925582933686125,0.918594177368623,783.738938570023
1050,6,-1,9,0.924094592359848,0.920430502060556,795.348750114441
1050,7,-1,9,0.922771622292046,0.917727388282804,794.590032100677
1050,8,-1,9,0.922936993550521,0.919592377752945,797.613660812378
1050,9,-1,9,0.921862080370432,0.917902414333317,801.316961765289
1050,10,-1,9,0.921614023482719,0.91861388450041,799.896518468857
1050,11,-1,9,0.921944765999669,0.917952541875502,804.21603512764
1050,12,-1,9,0.923515792955184,0.920282762809431,803.453776359558
1100,5,-1,9,0.923846535472135,0.920023977987315,845.259551048279
1100,6,-1,9,0.923763849842897,0.918980478940669,831.924649477005
1100,7,-1,9,0.925500248056888,0.920367236093297,832.313871622086
1100,8,-1,9,0.924259963618323,0.920430402171298,836.395325899124
1100,9,-1,9,0.922440879775095,0.918304375318416,836.702530145645
1100,10,-1,9,0.923515792955184,0.920272711587444,840.581611156464
1100,11,-1,9,0.923267736067471,0.919102430327168,840.820141553879
1100,12,-1,9,0.921696709111956,0.915415690248626,842.61728477478
1150,5,-1,9,0.922440879775095,0.917705215621584,866.073042392731
1150,6,-1,9,0.925169505539937,0.92167590356608,868.04687666893
1150,7,-1,9,0.925334876798412,0.919940723102638,873.579257249832
1150,8,-1,9,0.923929221101373,0.919953867375253,873.222848892212
1150,9,-1,9,0.925004134281462,0.921251020351491,894.320833921432
1150,10,-1,9,0.92541756242765,0.920752109770656,878.086084604263
1150,11,-1,9,0.922192822887382,0.917465742797675,882.790217161179
1150,12,-1,9,0.925748304944601,0.921446410416202,882.296955347061
1200,5,-1,9,0.923929221101373,0.918432011591932,904.692504167557
1200,6,-1,9,0.923763849842897,0.918860130294818,906.250560283661
1200,7,-1,9,0.923929221101373,0.919898516037507,909.141403198242
1200,8,-1,9,0.922192822887382,0.919488039618582,910.833948135376
1200,9,-1,9,0.92227550851662,0.917376206500011,920.996280193329
1200,10,-1,9,0.924508020506036,0.919693674928015,915.725205421448
1200,11,-1,9,0.923102364808996,0.91708340850653,918.66234087944
1200,12,-1,9,0.921531337853481,0.917809862088718,919.458113670349
1250,5,-1,9,0.923350421696709,0.920085950660429,957.750705242157
1250,6,-1,9,0.924094592359848,0.918818462443052,942.507167577744
1250,7,-1,9,0.923763849842897,0.919547602403534,947.175850391388
1250,8,-1,9,0.922688936662808,0.918358315613599,949.597880125046
1250,9,-1,9,0.92401190673061,0.9188622042059,950.162245750427
1250,10,-1,9,0.922110137258145,0.916959521755003,955.143883943558
1250,11,-1,9,0.924756077393749,0.920262454294457,955.169521093369
1250,12,-1,9,0.925830990573838,0.921122994585785,959.7241563797
1300,5,-1,9,0.924425334876798,0.919790096791565,977.621603012085
1300,6,-1,9,0.924756077393749,0.918302986701626,984.085337400436
1300,7,-1,9,0.925665619315363,0.921760598473864,986.038515329361
1300,8,-1,9,0.924756077393749,0.920642093253614,991.894016027451
1300,9,-1,9,0.924177277989085,0.920465868167881,1008.24764561653
1300,10,-1,9,0.925252191169175,0.919722819045213,992.108529090881
1300,11,-1,9,0.926409789978502,0.921233243010781,992.21911406517
1300,12,-1,9,0.922523565404333,0.918624483584729,997.322550296783
1350,5,-1,9,0.923515792955184,0.917302096480797,1012.74619626999
1350,6,-1,9,0.925004134281462,0.921326555629671,1017.39245963097
1350,7,-1,9,0.9250868199107,0.919371684262022,1020.20069384575
1350,8,-1,9,0.922027451628907,0.916172781901473,1021.97288775444
1350,9,-1,9,0.925004134281462,0.921442102006381,1025.81703042984
