"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"woa.2",305.107038194927,6,7,0.0391421879209046,4.61016658436036,3930.18371272087
"woa.2",1329.37836301869,7,10,0.0107128099035537,4.54113876159228,8385.4692735672
"woa.2",1780.05979010947,5,6,0.0141238301463858,4.57519090214608,7465.0951063633
"woa.2",3681.42217799074,10,10,0.00198422523174831,4.55265092315349,23211.3362424374
"woa.2",2429.69587336151,11,9,0.00479306985222643,4.5370910142819,17909.9981796741
"woa.2",829.859939313199,12,5,0.0100060822720386,4.52108407624894,7703.45535826683
"woa.2",4044.94223225131,4,9,0.00816954644436495,4.62279174069003,14483.2897410393
"woa.2",2430.7150930087,7,10,0.00746502006138102,4.56802112530338,14207.2606990337
"woa.2",656.166055341088,12,9,0.017772158700691,4.60539059988751,6840.52205920219
"woa.2",146.895401958273,15,6,0.0336476664850219,4.53273211623153,3623.98725962639
