"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"alo.1",984.058526534903,9,7,0.0193058166472078,4.64320703431237,1804.36612606049
"alo.1",1107.00426569074,6,8,0.0184689934921357,4.5790868849316,2411.52674651146
"alo.1",3890.02622023018,11,6,0.00507569042699805,4.75889753667689,7265.05828022957
"alo.1",2528.69289753726,15,7,0.00553354707930703,4.68539005213059,5601.9129652977
"alo.1",4263.67370888503,8,5,0.00399653667344483,4.70056149797873,5772.34129095078
"alo.1",563.991938316902,8,8,0.0216893559406423,4.66817262568878,1367.1871035099
"alo.1",2793.74155568286,2,9,0.0269956943482323,4.76560633908564,1788.52796816826
"alo.1",75.2904204374823,13,10,0.0754895855994527,4.65123907460186,1196.92523312569
"alo.1",305.223605839739,9,8,0.0534026665212321,4.71568522812971,1449.65688824654
"alo.1",2051.71213204025,7,6,0.00703852439763243,4.56527795588376,2819.53185844421
