"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"optim.2",1999.98762922052,8,5,0.00695704293944437,4.54405120342332,35921.1363108158
"optim.2",2000.37974335644,8,5,0.00950690680881349,4.61081787768392,26412.9890632629
"optim.2",2000.99207124285,8,5,0.00982975011484527,4.57414386761238,24976.1669521332
"optim.2",2000.03094838412,8,5,0.0102054071496218,4.60488884380888,13361.7315251827
"optim.2",1999.99846844087,8,5,0.0100043259557854,4.57137284815947,14495.6987760067
"optim.2",2000.02173478879,8,5,0.0057305874958259,4.56057466482114,19749.4244236946
"optim.2",1999.72632860974,8,5,0.00993779317822509,4.64623391463221,15772.240126133
"optim.2",1999.99999999996,8,5,0.00999999999985689,4.57076587469911,18360.6993713379
"optim.2",1999.76348091101,8,5,0.00993664617845756,4.59616938742209,15626.4910385609
"optim.2",2000.03451714241,8,5,0.00998401278345492,4.56788408954009,17154.5982556343
