"Optimizer","Trees","Depth","Nmin","Shrinkage","MSE","Time"
"bobyqa.2",2000,8,5,0.0406,529.180600552454,45.1653873920441
"bobyqa.2",2000.0007959905,8,5,0.0119579470826104,604.317366642212,41.9385447502136
"bobyqa.2",1999.99829386737,8,5,0.0198415116923477,518.469573216253,44.5078225135803
"bobyqa.2",2000,8,5,0.0406,546.881274827729,45.7486970424652
"bobyqa.2",2000.00216050611,8,5,0.0206547389933669,521.375096827994,48.4444797039032
"bobyqa.2",1999.98066366924,8,5,0.0208602769161317,518.062421967637,44.2935047149658
"bobyqa.2",1999.99859739114,8,5,0.0391977647450902,591.703310057361,44.8288383483887
"bobyqa.2",2000.01783202408,8,5,0.0210105969830054,577.311286794501,47.8196091651917
"bobyqa.2",1999.97028621447,8,5,0.0087777553763912,532.714721350652,45.0216300487518
"bobyqa.2",2000.00012130668,8,5,0.0208710500473661,543.13108646486,43.1146459579468
