"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"bobyqa.1",499.97102502844,5,8,0.0863665413860119,0.0322108345534407,31.9461870193481
"bobyqa.1",500,5,8,0.0802,0.0351390922401171,24.8155536651611
"bobyqa.1",499.999954150912,5,8,0.0797271780880667,0.0322108345534407,29.7531583309174
"bobyqa.1",500.00511709643,5,8,0.0798449295287928,0.0336749633967789,31.4483077526093
"bobyqa.1",500,5,8,0.0802,0.0307467057101025,26.3663563728333
"bobyqa.1",500.000860716081,5,8,0.0780609148283536,0.0292825768667643,31.4276528358459
"bobyqa.1",499.997298307219,5,8,0.0822956328146031,0.0322108345534407,28.0445809364319
"bobyqa.1",499.979556908537,5,8,0.0801716843832261,0.0278184480234261,27.118843793869
"bobyqa.1",499.998406718467,5,8,0.0752236455403894,0.0336749633967789,27.9963312149048
"bobyqa.1",500.038246255867,5,8,0.0853941928610802,0.0351390922401171,27.9319233894348
