"Optimizer","Trees","Depth","Nmin","Shrinkage","Error","Time"
"ga.2",2150.00089406967,8,10,0.00189270625519566,0.0234260614934114,1849.30314159393
"ga.2",1855.21742503023,13,6,0.0138007084670907,0.0204978038067349,2442.34988999367
"ga.2",451.019742801785,9,9,0.033856064081192,0.0234260614934114,1909.0682489872
"ga.2",2150.00089406967,8,10,0.00189270625519566,0.0234260614934114,1691.27352905273
"ga.2",217.433205068111,12,12,0.0257478952407837,0.0234260614934114,1530.12689304352
"ga.2",1471.84433811903,11,7,0.027473971247673,0.0248901903367497,1864.46576428413
"ga.2",682.499631377868,15,10,0.0157241698021535,0.0234260614934114,2243.91031098366
"ga.2",2150.00089406967,8,10,0.00189270625519566,0.0234260614934114,1706.03050971031
"ga.2",59.3395059928298,12,9,0.0845610664223787,0.0219619326500732,2043.0041911602
"ga.2",2150.00089406967,8,10,0.00189270079135895,0.0234260614934114,2727.9294397831
