"Optimizer","Nu","Iter","Depth","Error","Time"
"optim.1",0.764613228772966,100,2,0.155952380952381,2126.86250042915
"optim.1",0.687334582444462,100,2,0.161904761904762,2240.44304513931
"optim.1",0.738855275237377,101,2,0.18452380952381,2472.9571917057
"optim.1",0.870046466897712,100,1,0.167857142857143,654.189164876938
"optim.1",0.70775830065024,100,2,0.172619047619048,2921.85351920128
"optim.1",0.751807842997233,101,2,0.170238095238095,846.45140004158
"optim.1",0.441380458623111,101,2,0.153571428571429,1354.62023997307
"optim.1",0.7,100,2,0.177380952380952,1711.92036771774
"optim.1",0.596186902414268,101,3,0.180952380952381,1950.27612829208
"optim.1",0.700000052015894,100,2,0.160714285714286,1969.54261875153
