"Optimizer","Nu","Iter","Depth","Error","Time"
"ga.500",0.755746939885036,204,12,0.111764705882353,1795.82602477074
"ga.500",0.133775413036346,63,19,0.114705882352941,1085.47954821587
"ga.500",0.31728932261467,171,13,0.117647058823529,1974.64863944054
"ga.500",0.341715782880783,206,18,0.126470588235294,1268.839666605
"ga.500",0.421962497417482,205,15,0.108823529411765,2509.7290122509
"ga.500",0.137676596641541,230,10,0.114705882352941,2110.4167034626
"ga.500",0.195798605680466,196,13,0.120588235294118,2480.44712543488
"ga.500",0.20054574185932,188,11,0.114705882352941,2254.0498380661
"ga.500",0.150610438228451,223,10,0.114705882352941,2625.05506944656
"ga.500",0.510551622804711,151,16,0.108823529411765,1751.50148820877
