"Optimizer","Nu","Iter","Depth","Error","Time"
"lbfgsb3.1",0.699121763149942,100,2,0.163095238095238,3701.55949473381
"lbfgsb3.1",0.699006662938091,100,2,0.157142857142857,4459.48632287979
"lbfgsb3.1",0.694470400567956,100,2,0.160714285714286,6455.11889791489
"lbfgsb3.1",0.69938161477402,100,2,0.158333333333333,6660.97379875183
"lbfgsb3.1",0.699999972439006,100,2,0.160714285714286,6956.21185851097
"lbfgsb3.1",0.698092893129188,100,2,0.16547619047619,5898.16375541687
"lbfgsb3.1",0.699992973572768,100,2,0.176190476190476,6708.11529302597
"lbfgsb3.1",0.698042389764329,100,2,0.160714285714286,9920.28142809868
"lbfgsb3.1",0.704655483603719,100,2,0.155952380952381,6665.00620269775
"lbfgsb3.1",0.703343350294956,100,2,0.163095238095238,5234.60924196243
